id,titulo,lugar,data,reclamacao_base,interacoes,rating,again,status
212863223,Falta de respeito com o cliente devido a atualização Cadastral ( nas lojas ),Visconde do Rio Branco - MG,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=23, tm_hour=8, tm_min=56, tm_sec=0, tm_wday=6, tm_yday=82, tm_isdst=-1)","Motivo do meu contato é que , apareceu em meu aplicativo um valor de empréstimo pré aprovado, porém para simular o mesmo o meu cadastro diante as lojas bemol tem que esta atualizado , Pois bem o meu SEGUNDO A BEMOL está desatualizado .É para que eu possa atualizar o mesmo teria que ir em uma loja Bemol mas próxima, Mas devido eu ser de um estado que não tem lojas bemol a única forma seria eu entrando em contato e pedindo a atualização via e-mail mediante a dados e documentos via anexo solicitado no atendimento, Pois BEM entrei em contato via telefone ,via e-mail,via Instagram e sempre ficava aquele jogo de empurra . sempre uma central naquele jogo de pingue pong um joga para o outro, com muito CUSTO em um atendimento via telefone me passaram um e-mail aonde eu estaria enviando meus dados para atualização Cadastral diante as lojas para que eu pudesse DEPOIS da atualização estar simulando o mesmo
Enfim, mandei tudo direito oque foi pedido no atendimento é dias se passaram e nada de analisarem e me enviar uma posição via e-mail do solicitado , novamente entrei em contato me orientaram a reenviar os dados para o mesmo e-mail e no motivo solicitar a data do primeiro envio , é com isso se passaram quase um mês e novamente eu entrei em contato via INSTAGRAM ontem (*****) na parte da manhã e no final da tarde , FINALMENTE POR MILAGRE DE DEUS responderam , mas responderam dizendo que não daria para dar seguimento a atualização devido a foto do meu RG está borrada , pois bem e deu como opção qualquer documento em minha titularidade com foto , pois bem reenviei novamente porém com a foto frente da minha carteira de trabalho que já é antiga , até porque eu sou aposentada. jamais irei procurar ter uma carteira de trabalho nova sendo que não iria ter nenhum vínculo trabalhista. mas enfim recebi uma resposta que também não daria para dar seguimento a atualização devido não aceita o formato da carteira de trabalho
Eu novamente enviei para o e-mail meus dados com foto do meu outro RG antigo e até agora não obtive uma resposta se foi aceito ou não.
Diante a tudo isso é uma palhaçada danada para uma atualização Cadastral
Aí eu pergunto, Se o empréstimo, limite pix e crédito para comprar nas lojas bemol o dados tem que tá atualizado nas lojas
- Porque no crediario que tenho um limite de R$*****,00 meus dados estão atualizados e no empréstimo que é do mesmo setor não está atualizado?
Então é um amadorismo danado por parte da financeira
E sem contar que na financeira Bemol que é no app meus documentos foram aceitos para atualização e na loja não quer aceitar.
Entendo que tudo tem regras e nenhum sistema é obrigado a aceitar e muito menos ofertar produtos de crédito a cliente .Se essa burocracia danada que existe divergências por parte do grupo bemol em si , pra que oferta ? é melhor não ofertar , ao menos não faz hora com a cara do cliente.
Uma falta de respeito danada, creio que se eu tivesse em débito com o mesmo já teria atualizado meus dados em tudo que lugar para me cobrar.
Então minha indignação é essa , QUANDO FOR DISPONIBILIZAR ALGO que seja definitivo.","['Resposta da empresa\n25/03/2025 às 16:51\nOlá, CILENE, boa tarde!\n\nEntendemos seu posicionamento e pedimos desculpas por qualquer inconveniente. Nosso compromisso é garantir um atendimento transparente e seguir os critérios estabelecidos para análise de crédito e atualização cadastral.\n\nConforme informado, a concessão de crédito está sujeita à análise e pode variar conforme nossas políticas internas. Sobre a atualização do seu cadastro, os documentos enviados não atendem aos requisitos necessários para seguirmos com o processo. Para sua segurança e para garantir a validação, é necessário apresentar um RG dentro do prazo de validade (10 anos) e sem rasuras.\n\nAssim que tiver um documento atualizado, estamos à disposição para auxiliá-la novamente.\n\nAgradecemos sua compreensão e reforçamos nosso compromisso em prestar um serviço responsável e seguro.\n\nContinuamos à disposição em nossos canais de atendimento:\nCentral de Atendimento Bemol: 0800 726 8300, 092 3183-0911 (Opção 05)\nE-mail: fala@contabemol.com.br\n\nReiteramos nosso compromisso, para com a satisfação e fidelização de nossos Clientes e agradecemos a sua preferência.\n\nAtenciosamente,\nAdriane R.\nBemol Serviços Financeiros', 'Consideração final do consumidor\n25/03/2025 às 17:57\nregular']",4,True,Resolvido
212120105,Erro com CPF para criar conta bemol,Manaus - AM,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=13, tm_hour=18, tm_min=35, tm_sec=0, tm_wday=3, tm_yday=72, tm_isdst=-1)","Preciso criar minha conta bemol, mas não estou conseguindo pois fica dando erro de código ONB-6-14, já abrir chamado, já fui presencialmente na loja e não consegui resolver e nem descobrir o por quê meu CPF está sendo recusado, por favor alguém consegui me falar alguma previsão de quantos dias ou meses vou poder abrir a conta bemol?","['Resposta da empresa\n19/03/2025 às 17:37\nOlá, DENISE, boa tarde!\n\nConforme análise realizada, informamos que, com base nas políticas de uso, a conta em seu nome não foi aprovada em nossa plataforma. Sua reclamação foi finalizada e o detalhamento pode ser acessado através das mensagens privadas, pois, prezamos pela segurança dos seus dados.\n\nContinuamos à disposição em nossos canais de atendimento:\nCentral de Atendimento Bemol: 0800 726 8300, 092 3183-0911 (Opção 05)\nE-mail: fala@contabemol.com.br\n\nReiteramos nosso compromisso, para com a satisfação e fidelização de nossos Clientes e agradecemos a sua preferência.\n\nAtenciosamente,\nAdriane R.\nBemol Serviços Financeiros', 'Consideração final do consumidor\n19/03/2025 às 17:54\nMuito boa, porém insatisfeita pois não conseguiram resolver meu problema.']",8,True,Não resolvido
211947551,Fiz meu cadastro aí não estou conseguindo finalizar não está reconhecendo meu CEP aí estou tentando pedir o cartão não estou conseguindo o telefone dele não atende o chat está mandando um código aí fala que eles não estão conseguindo,Marataízes - ES,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=12, tm_hour=7, tm_min=56, tm_sec=0, tm_wday=2, tm_yday=71, tm_isdst=-1)",fiz um cadastro aí não estão reconhecendo meu CEP tentando pedir o cartão não estou conseguindo no total,"['Resposta da empresa\n12/03/2025 às 11:55\nOlá, WAGNER. Bom dia!\n\nConforme contato realizado hoje (12/03/2025), informamos que atualmente, o Cartão Bemol está disponível apenas para clientes da Região Norte. Em breve, será liberado para outras regiões. Fique atento às nossas atualizações!\n\nContinuamos à disposição em nossos canais de atendimento:\nCentral de Atendimento Bemol: 0800 726 8300, 092 3183-0911 (Opção 05)\nE-mail: fala@contabemol.com.br\n\nReiteramos nosso compromisso, para com a satisfação e fidelização de nossos Clientes e agradecemos a sua preferência.\n\nAtenciosamente,\nAdriane R.\nBemol Serviços Financeiros', 'Consideração final do consumidor\n12/03/2025 às 14:42\n1']",1,True,Resolvido
211927751,Parceiro Bemol,Manaus - AM,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=11, tm_hour=20, tm_min=47, tm_sec=0, tm_wday=1, tm_yday=70, tm_isdst=-1)","Em dezembro de 2024 solicitei um serviço na empresa 3G despachantes de Veículos (CNPJ*******137) que é um parceiro Bemol, realizei o pagamento através do parceiro Bemol.
A Bemol por ser uma empresa séria acreditei nos serviços dessa 3g despachantes, mas infelizmente estou desgastada com tanta falta de profissionalismo e comprometimento dessa empresa com seus clientes, até o momento não tive meu serviço concluído, ninguém resolve nada, simplesmente não dão uma satisfação, estou me sentindo totalmente [Editado pelo Reclame Aqui] como consumidora. Eu preciso de ajuda pra que resolvam meu problema ou o ressarcimento do meu dinheiro.","['Resposta da empresa\n14/03/2025 às 09:36\nOlá, ROZANI. Bom dia!\n\nDe acordo com as diretrizes da Lei Geral de Proteção de Dados (LGPD), o atendimento deve ser realizado exclusivamente pelo titular da compra, garantindo a privacidade e segurança das informações. Sendo assim, para melhor atendê-la, estamos conduzindo o atendimento diretamente com a titular.\n\nAgradecemos sua compreensão e sinalização!\n\nContinuamos à disposição em nossos canais de atendimento:\nCentral de Atendimento Bemol: 0800 726 8300, 092 3183-0911 (Opção 05)\nE-mail: fala@contabemol.com.br\n\nReiteramos nosso compromisso, para com a satisfação e fidelização de nossos Clientes e agradecemos a sua preferência.\n\nSua avaliação é muito importante no site do Reclame Aqui para manter o canal ativo. Não deixe de nos avaliar.\n\nAtenciosamente,\nAdriane R.\nBemol Serviços Financeiros', 'Consideração final do consumidor\n14/03/2025 às 10:04\nParabéns pelo retorno da resolução do problema.']",10,True,Resolvido
211772563,DINHEIRO DO EMPRESTIMO NÃO CAIU NA CONTA,Boa Vista - RR,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=10, tm_hour=14, tm_min=25, tm_sec=0, tm_wday=0, tm_yday=69, tm_isdst=-1)","Efetuei um empréstimo no dia 06/03/2025, chegou SMS confirmando o empréstimo, chegou o contrato do empréstimo no e-mail, já entrou o parcelamento do empréstimo no aplicativo Bemol, mas ate o momento o dinheiro não caiu na conta informada no ato do empréstimo. Preciso de uma solução, um retorno. Fico no aguardo.","['Resposta da empresa\n14/03/2025 às 09:45\nOlá, IRIS. Bom dia!\n\nTudo bem?\n\nAgradecemos por nos permitir atendê-la e solucionar o seu problema. Ficamos felizes em saber que conseguimos ajudá-la de forma satisfatória.\n\nMais uma vez, agradecemos pela sua confiança e preferência.\n\nContinuamos à disposição em nossos canais de atendimento:\nCentral de Atendimento Bemol: 0800 726 8300, 092 3183-0911 (Opção 05)\nE-mail: fala@contabemol.com.br\n\nReiteramos nosso compromisso, para com a satisfação e fidelização de nossos Clientes e agradecemos a sua preferência.\n\nSua avaliação é muito importante no site do Reclame Aqui para manter o canal ativo. Não deixe de nos avaliar.\n\nAtenciosamente,\nAdriane R.\nBemol Serviços Financeiros', 'Consideração final do consumidor\n15/03/2025 às 14:20\nObtive um retorno super rápido com a equipe de emprestimo, e solucionaram meu problema na mesma hora. Eu estou muito satisfeita com o atendimento.']",10,True,Resolvido
210745097,Limite de crédito,Aracaju - SE,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=24, tm_hour=17, tm_min=45, tm_sec=0, tm_wday=0, tm_yday=55, tm_isdst=-1)","possuo conta na Bemol faz tempo, nunca liberaram se quer um cartão de créditoou qualquer outra linha.
o que tem lá são uns pontos que não consigo usar pra nada e gostaria de saber sa Bemol quando é que vou poder usar tantos pontos se nem limite de crédito pra vocês me dá
o cartão é puro débito e esses pontos servem pra que mesmo se não consigo usar","['Resposta da empresa\n01/03/2025 às 12:19\nOlá, DAISE. Bom dia!\n\nConforme nossa interação, esclarecemos as funcionalidades do App Conta Bemol, do Crediário Bemol e as orientações sobre o limite pré-aprovado. O atendimento foi concluído e o detalhamento da tratativa pode ser consultado nas mensagens privadas, preservando a segurança dos seus dados.\n\nContinuamos à disposição em nossos canais de atendimento:\nCentral de Atendimento Bemol: 0800 726 8300, 092 3183-0911 (Opção 05)\nE-mail: fala@contabemol.com.br\n\nReiteramos nosso compromisso, para com a satisfação e fidelização de nossos Clientes e agradecemos a sua preferência.\n\nAtenciosamente,\nAdriane R.\nBemol Serviços Financeiros', 'Réplica do consumidor\n01/03/2025 às 12:23\nOi Adriane!\nAgradeço sua atenção, mais até que o limite esteja disponível e eu consiga usar, assim como os meus pontos não darei baixa na reclamação.\nEntão que o setor responsável seja mais ágil para que só assim eu possa finalizar a reclamação.\nAgradeço sua compreensão', 'Réplica do consumidor\n10/03/2025 às 03:24\nOii, até o momento não houve solução alguma sobre minha reclamação aqui!\nEstou aguardando e até o momento nada, não consigo saber o limite nada.', 'Consideração final do consumidor\n12/03/2025 às 19:44\nNão recebi nenhum contato da BEMOL tenha sido por e-mail ou telefone, e no Reclame Aqui ninguém respondeu mais']",0,False,Não resolvido
210744335,Conta bloqueada algumas funções,Floresta Azul - BA,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=24, tm_hour=17, tm_min=38, tm_sec=0, tm_wday=0, tm_yday=55, tm_isdst=-1)",Minha conta bemol digital foi bloqueada eu tenho essa conta a mas de 2 anos tava funcionando normalmente só foi eu enviar as fotos do documento para a atualização minha conta foi bloqueada tô tentando fazer outro cadastro diz que eu já possui conta,"['Resposta da empresa\n25/02/2025 às 12:13\nOlá, EDSON. Bom dia!\n\nAgradecemos o seu contato e por nos trazer o seu relato. Após análise realizada na conta digital contratada, verificamos que, com base nas políticas de uso da nossa instituição, o uso da conta não foi aprovado.\n\nSe precisar de mais informações acesse nosso Termo de Uso na tela inicial do aplicativo ou caso você tenha mais perguntas, permanecemos à disposição através de nossos Canais de Atendimento:\nCentral de Atendimento Bemol: 0800 726 8300 ou 092 3183-0911 (Opção 05)\nE-mail: fala@contabemol.com.br\n\nAtenciosamente,\nAdriane R.\nBemol Serviços Financeiros', 'Consideração final do consumidor\n25/02/2025 às 14:09\nNão resolveu meu problema nem desbloqueio minha conta fui fazer outro cadastro do daqui a 180 dias']",0,False,Não resolvido
210519133,"No meu app tá liberado um valor de um empréstimo,na hora que tenho fazer, tá dando instabilidade de limite,sou cliente diamante mas não atraso minhas contas pago ate adiantado,mas na hora que preciso não resolvem ,",Anamã - AM,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=21, tm_hour=11, tm_min=9, tm_sec=0, tm_wday=4, tm_yday=52, tm_isdst=-1)","Estou tentando fazer um empréstimo no app tá liberado um valor,mas dá instabilidade","['Resposta da empresa\n21/02/2025 às 17:47\nOlá, MARCIA. Boa tarde!\n\nConforme contato realizado hoje (21/02/2025), realizamos os esclarecimentos e orientações relativas a esta Reclamação.\n\nContinuamos à disposição em nossos canais de atendimento:\nCentral de Atendimento Bemol: 0800 726 8300, 092 3183-0911 (Opção 05)\nE-mail: fala@contabemol.com.br\n\nReiteramos nosso compromisso, para com a satisfação e fidelização de nossos Clientes e agradecemos a sua preferência.\n\nSua avaliação é muito importante no site do Reclame Aqui para manter o canal ativo. Não deixe de nos avaliar.\n\nAtenciosamente,\nAdriane R.\nBemol Serviços Financeiros', 'Consideração final do consumidor\n21/02/2025 às 20:33\nExcelente atendimento,a moça me explicou direitinho']",10,True,Resolvido
210505039,Quero cancelar a conta e não consigo,Altamira - PA,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=21, tm_hour=9, tm_min=11, tm_sec=0, tm_wday=4, tm_yday=52, tm_isdst=-1)",Já venho a meses tentando cancelar minha conta na bemol e não consigo eles sempre enrolam e não cancelam,"['Resposta da empresa\n21/02/2025 às 18:04\nOlá, ANDRÉ\n\nDeixamos registrada nossa satisfação pelo seu contato. Em resposta ao seu registro, agradecemos o seu contato e lamentamos saber que deseja encerrar sua conta na Bemol. Gostaríamos de informar que o processo de encerramento de conta é realizado diretamente através do nosso aplicativo, de forma rápida e segura.\n\nPara garantir a segurança dos seus dados, enviamos uma resposta detalhada para o seu e-mail cadastrado, contendo todas as informações sobre o seu caso. Caso tenha dúvidas ou precise de mais esclarecimentos, seguimos à disposição para ajudar.\n\nVocê também pode contar com nossos canais de atendimento:\nCentral de Atendimento Bemol: 0800 726 8300 | (92) 3183-0911 (Opção 05)\nE-mail: fala@contabemol.com.br\n\nReafirmamos nosso compromisso com a sua satisfação e agradecemos a sua preferência.\n\nAtenciosamente,\nAdriane R.\nBemol Serviços Financeiros', 'Réplica do consumidor\n25/02/2025 às 05:28\nJa liguei na central informando que não consigo acessar o aplicativo, me disseram que o processo de encerramento da conta já estava em andamento mas até agora a conta não foi encerrada e assim impedindo meu acesso a chave Pix cadastrada em conta.', 'Réplica da empresa\n25/02/2025 às 11:45\nOlá, ANDRÉ, bom dia!\n\nA sua solicitação foi atendida. Para garantir a segurança dos seus dados, enviamos uma resposta detalhada para o seu e-mail cadastrado, contendo todas as informações sobre o seu caso. Caso tenha dúvidas ou precise de mais esclarecimentos, seguimos à disposição para ajudar.\n\nEstamos à disposição para qualquer dúvida ou necessidade em nossos canais oficiais de atendimento. Você também pode nos contatar pela Central de Atendimento pelo telefone 0800 726 8300, na opção 5 (exclusiva para clientes Conta Bemol). O atendimento funciona 24 horas de segunda a sábado. Aos domingos e feriados, estamos disponíveis pelo e-mail fala@contabemol.com.br.\n\nReafirmamos nosso compromisso com a sua satisfação e agradecemos a sua preferência.\n\nAtenciosamente,\nAdriane R.\nBemol Serviços Financeiros', 'Consideração final do consumidor\n27/02/2025 às 09:01\nFinalmente consegui encerrar está conta']",5,False,Resolvido
210481067,Propaganda enganosa,São Paulo - SP,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=20, tm_hour=20, tm_min=34, tm_sec=0, tm_wday=3, tm_yday=51, tm_isdst=-1)","Recebi um e mail em que eu teria um crédito aprovado, fui lá e entrei na minha conta, é pra surpresa eu não tinha nada, uma falta de respeito tremenda, absurdo isso.","['Resposta da empresa\n21/02/2025 às 17:26\nOlá, WILLIAM. Boa tarde!\n\nEntendemos sua preocupação e gostaríamos de esclarecer que o notificação recebida informa um crédito pré-aprovado referente ao Crediário Bemol, disponível para compras nas Lojas Bemol, Bemol Farma e Mercado Bemol.\n\nPara garantir a segurança dos seus dados, enviamos uma resposta detalhada para o seu e-mail cadastrado, contendo todas as informações sobre o seu caso. Caso tenha dúvidas ou precise de mais esclarecimentos, seguimos à disposição para ajudar.\n\nVocê também pode contar com nossos canais de atendimento:\nCentral de Atendimento Bemol: 0800 726 8300 | (92) 3183-0911 (Opção 05)\nE-mail: fala@contabemol.com.br\n\nReafirmamos nosso compromisso com a sua satisfação e agradecemos a sua preferência.\n\nAtenciosamente,\nAdriane R.\nBemol Serviços Financeiros', 'Consideração final do consumidor\n24/02/2025 às 13:05\nObrigado']",10,True,Resolvido
