id,titulo,lugar,data,reclamacao_base,interacoes,rating,again,status
206982163,[Editado pelo Reclame Aqui] ?????,Itu - SP,"time.struct_time(tm_year=2025, tm_mon=1, tm_mday=11, tm_hour=12, tm_min=44, tm_sec=0, tm_wday=5, tm_yday=11, tm_isdst=-1)","Fechei contrato com a empresa coin nacional a quase 10 meses , paguei cada parcela corretamente e estou a dois meses sem um única resposta da empresa , telefone que está no Google cai em um funerária , msgm não são respondidas e o endereço do CNPJ não consta o escritório no local , por favor se alguém tem algum contato q funcione me ajude !!!","['Resposta da empresa\n13/01/2025 às 08:10\nOlá, tudo bem?\n\nAgradecemos por entrar em contato conosco. Lamentamos pelo ocorrido e estamos comprometidos em resolver sua situação da melhor maneira possível.\n\nJá verificamos sua reclamação e nossa equipe entrou em contato para buscar a melhor solução. Caso ainda tenha dúvidas ou precise de mais informações, por favor, fale conosco pelos nossos canais de atendimento.\n\nEstamos à disposição para ajudar!\n\nAtenciosamente,\nCoin', 'Consideração final do consumidor\n13/01/2025 às 11:20\nAtendimento que recebi depois da reclamação muito bom , parabéns ao Igor , porém ainda não está totalmente resolvido meu problema , estou retirando a reclamação mas deixarei tudo arquivado aqui , se caso precisar reclamar denovo usarei as reclamações.antigas como prova !!!! Só quero q a coin me de mais respaldo sobre minha situação , pagamento está em dia !!!! Obrigado desde já !!!']",5,True,Resolvido
206981615,Preciso do contato,Itu - SP,"time.struct_time(tm_year=2025, tm_mon=1, tm_mday=11, tm_hour=12, tm_min=36, tm_sec=0, tm_wday=5, tm_yday=11, tm_isdst=-1)",Estou pagando um boleto de negociação com vcs porém preciso entrar em contato e simplesmente o telefone watts sumiu tudo não consigo falar com vcs se mudaram de número me manda por favor,"['Resposta da empresa\n13/01/2025 às 08:03\nOlá, tudo bem?\n\nAgradecemos por entrar em contato conosco. Lamentamos pelo ocorrido e estamos comprometidos em resolver sua situação da melhor maneira possível.\n\nJá verificamos sua reclamação e nossa equipe entrou em contato para buscar a melhor solução. Caso ainda tenha dúvidas ou precise de mais informações, por favor, fale conosco pelos nossos canais de atendimento.\n\nEstamos à disposição para ajudar!\n\nAtenciosamente,\nCoin', 'Consideração final do consumidor\n13/01/2025 às 09:40\nJá resolvi obgd']",8,True,Resolvido
206937259,[Editado pelo Reclame Aqui],Vinhedo - SP,"time.struct_time(tm_year=2025, tm_mon=1, tm_mday=10, tm_hour=18, tm_min=6, tm_sec=0, tm_wday=4, tm_yday=10, tm_isdst=-1)","Através do Instagram conheci a Coin Nacional, fiz o contato e em seguida me ligaram, explicaram tudo certinho, bom, concordei com as condições e aceitei fazer negócio, já enviaram vários boletos inclusive, isso já tem mais de três meses, pois bem, meu contato era pra baixar os valores das parcelas, fiz três pagamentos e pra minha surpresa, nesta data, 10/01, foi expedido o MANDADO DE BUSCA E APREENSÃO do meu carro, entrei em contato com eles desesperado e pra minha surpresa a orientação deles era pra que eu escondesse meu carro, dependo dele para trabalhar por ir para outra cidade, quero o cancelamento e o ressarcimento de tudo que paguei, impossível prosseguir e vou tomar as providências cabíveis por conta do constrangimento que estou passando!","['Resposta da empresa\n13/01/2025 às 08:13\nOlá, tudo bem?\n\nAgradecemos por entrar em contato conosco. Lamentamos pelo ocorrido e estamos comprometidos em resolver sua situação da melhor maneira possível.\n\nJá verificamos sua reclamação e nossa equipe entrou em contato para buscar a melhor solução. Caso ainda tenha dúvidas ou precise de mais informações, por favor, fale conosco pelos nossos canais de atendimento.\n\nEstamos à disposição para ajudar!\n\nAtenciosamente,\nCoin', 'Réplica do consumidor\n13/01/2025 às 09:22\nNão tiveram o mínimo de bom senso, mas pra receber as parcelas foi tranquilo, não atrasei e pagava adiantado, a hora que que saiu o mandado de busca e apreensão falaram pra eu manter o carro em outro endereço, acreditava que estavam em negociação pra resolver e não resolveram nada, pelo contrário, sou funcionário público e só não me prejudicaram mais por que eu tomei outras providências... lamentável!', 'Consideração final do consumidor\n15/01/2025 às 14:32\nAtravés do reclame aqui e com o atendente Guilherme pude resolver o meu problema tendo o cancelamento e a não cobrança da multa!']",10,False,Resolvido
206426055,Não consigo contato,Jandira - SP,"time.struct_time(tm_year=2025, tm_mon=1, tm_mday=6, tm_hour=11, tm_min=4, tm_sec=0, tm_wday=0, tm_yday=6, tm_isdst=-1)","Não consigo falar nos canais de atendimento da empresa, desde o dia 28/12 estou tentando e não tenho resposta. Mesmo que tenham saído de férias, não fica alguém pra atender o cliente???
Meu boleto está atrasado e não consigo pagar!","['Resposta da empresa\n06/01/2025 às 13:48\nOlá, tudo bem?\n\nAgradecemos por entrar em contato conosco. Lamentamos pelo ocorrido e estamos comprometidos em resolver sua situação da melhor maneira possível.\n\nJá verificamos sua reclamação e nossa equipe entrou em contato para buscar a melhor solução. Caso ainda tenha dúvidas ou precise de mais informações, por favor, fale conosco pelos nossos canais de atendimento.\n\nEstamos à disposição para ajudar!\n\nAtenciosamente,\nCoin', 'Consideração final do consumidor\n08/01/2025 às 19:19\nPrestou um bom atendimento.']",9,True,Resolvido
204110375,Boleto,Goiânia - GO,"time.struct_time(tm_year=2024, tm_mon=12, tm_mday=9, tm_hour=14, tm_min=59, tm_sec=0, tm_wday=0, tm_yday=344, tm_isdst=-1)","Olá, assinei um contrato de negociação da minha dívida com a Coin, mas ainda não recebi os boletos no meu endereço. Gostaria de confirmar se houve algum problema no envio ou se há outra forma de acessar os boletos para que eu possa manter os pagamentos em dia, não estou conseguindo baixar o aplicativo também.","['Resposta da empresa\n09/12/2024 às 16:35\nOlá, tudo bem?\n\nAgradecemos por entrar em contato conosco. Lamentamos pelo ocorrido e estamos comprometidos em resolver sua situação da melhor maneira possível.\n\nJá verificamos sua reclamação e nossa equipe entrou em contato para buscar a melhor solução. Caso ainda tenha dúvidas ou precise de mais informações, por favor, fale conosco pelos nossos canais de atendimento.\n\nEstamos à disposição para ajudar!\n\nAtenciosamente,\nCoin', 'Consideração final do consumidor\n09/12/2024 às 16:52\notima']",10,True,Resolvido
204045081,Empresa Enganosa,São Paulo - SP,"time.struct_time(tm_year=2024, tm_mon=12, tm_mday=9, tm_hour=6, tm_min=12, tm_sec=0, tm_wday=0, tm_yday=344, tm_isdst=-1)","Estou com meu financiamento em atraso, eles disseram que fariam uma negociaçao com o banco,e teria redução dos valores de juros,e das parcelas,porém já no dia seguinte, emitiram vários boletos com valores que supostamente seria a renegociação, achei estranho e uma semana depois, o banco continuava a me cobrar,após vários questionamentos na empresa Coin sobre estes boletos, eles informaram que esses valores, seriam um caixa,para quando o banco aceitar a negociação, poder ser feito o pagamento
Conversei com meu advogado, e me informou que este tipo de coisa não existe, me orientou a fazer um boletim de ocorrência, e o cancelamento desse supostos serviço oferecido, pedi o cancelamento e eles queria que eu pagasse 500,00 para que fosse feito,me neguei e fiz o boletim de ocorrência, agora estou aguardando eles cobrarem o primeiro boleto, para que possa entrar com a reclamação no Procon, e com processo judicial
Não caiam nesse [Editado pelo Reclame Aqui] da Coin","['Resposta da empresa\n09/12/2024 às 16:29\nOlá, tudo bem?\n\nAgradecemos por entrar em contato conosco. Lamentamos pelo ocorrido e estamos comprometidos em resolver sua situação da melhor maneira possível.\n\nJá verificamos sua reclamação e nossa equipe entrou em contato para buscar a melhor solução. Caso ainda tenha dúvidas ou precise de mais informações, por favor, fale conosco pelos nossos canais de atendimento.\n\nEstamos à disposição para ajudar!\n\nAtenciosamente,\nCoin', 'Consideração final do consumidor\n09/12/2024 às 17:55\nA Coin entrou em contato comigo, se desculpando pelo mal entendido, e me informou que seria retirado todas as cobranças']",8,True,Resolvido
203880587,valor cobrado,Piracicaba - SP,"time.struct_time(tm_year=2024, tm_mon=12, tm_mday=6, tm_hour=12, tm_min=59, tm_sec=0, tm_wday=4, tm_yday=341, tm_isdst=-1)",Ainda estou com problema quanto ao valor que está sendo cobrado pelo cancelamento do meu contrato referente a revisão do meu financiamento.,"['Resposta da empresa\n07/12/2024 às 18:27\nOlá, tudo bem?\n\nAgradecemos por entrar em contato conosco. Lamentamos pelo ocorrido e estamos comprometidos em resolver sua situação da melhor maneira possível.\n\nJá verificamos sua reclamação e nossa equipe entrou em contato para buscar a melhor solução. Caso ainda tenha dúvidas ou precise de mais informações, por favor, fale conosco pelos nossos canais de atendimento.\n\nEstamos à disposição para ajudar!\n\nAtenciosamente,\nCoin', 'Consideração final do consumidor\n07/12/2024 às 20:23\nMuito atenciosos e rapidez na resposta']",10,True,Resolvido
203678127,Aplicativo,São Luís - MA,"time.struct_time(tm_year=2024, tm_mon=12, tm_mday=4, tm_hour=15, tm_min=12, tm_sec=0, tm_wday=2, tm_yday=339, tm_isdst=-1)",Os meus boletos não estão baixando no aplicativo desde mês passado e eu preciso imprimir para pagar a parcela,"['Resposta da empresa\n04/12/2024 às 16:24\nOlá, tudo bem?\n\nAgradecemos por entrar em contato conosco. Lamentamos pelo ocorrido e estamos comprometidos em resolver sua situação da melhor maneira possível.\n\nJá verificamos sua reclamação e nossa equipe entrou em contato para buscar a melhor solução. Caso ainda tenha dúvidas ou precise de mais informações, por favor, fale conosco pelos nossos canais de atendimento.\n\nEstamos à disposição para ajudar!\n\nAtenciosamente,\nCoin', 'Consideração final do consumidor\n04/12/2024 às 17:52\nRespoderam rápido']",10,True,Resolvido
203677623,QUITAÇÃO,Caldas Novas - GO,"time.struct_time(tm_year=2024, tm_mon=12, tm_mday=4, tm_hour=15, tm_min=8, tm_sec=0, tm_wday=2, tm_yday=339, tm_isdst=-1)","Estou a 5 dias aguardando a carta de quitação do meu veículo, ninguém encaminhou ainda. Peço para que resolvam o meu problema!!!!!!!","['Resposta da empresa\n04/12/2024 às 16:24\nOlá, tudo bem?\n\nAgradecemos por entrar em contato conosco. Lamentamos pelo ocorrido e estamos comprometidos em resolver sua situação da melhor maneira possível.\n\nJá verificamos sua reclamação e nossa equipe entrou em contato para buscar a melhor solução. Caso ainda tenha dúvidas ou precise de mais informações, por favor, fale conosco pelos nossos canais de atendimento.\n\nEstamos à disposição para ajudar!\n\nAtenciosamente,\nCoin', 'Consideração final do consumidor\n04/12/2024 às 16:41\nSolucionou.']",10,True,Resolvido
203667211,Boleto,Goiânia - GO,"time.struct_time(tm_year=2024, tm_mon=12, tm_mday=4, tm_hour=13, tm_min=51, tm_sec=0, tm_wday=2, tm_yday=339, tm_isdst=-1)","Não estou conseguindo ter acesso ao meu boleto para pagamento, já solicitei diversas vezes.","['Resposta da empresa\n04/12/2024 às 14:13\nOlá! Agradecemos pela sua mensagem. Já entramos em contato para esclarecer eventuais dúvidas. Estamos à disposição!', 'Consideração final do consumidor\n04/12/2024 às 14:21\nAtendimento excelente!']",10,True,Resolvido
