id,titulo,lugar,data,reclamacao_base,interacoes,rating,again,status
211871941,extorno,Luís Eduardo Magalhães - BA,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=11, tm_hour=12, tm_min=27, tm_sec=0, tm_wday=1, tm_yday=70, tm_isdst=-1)","Boa tarde.

Vim por esse meio do RECLAME AQUI, para ver se consigo resolver minha situaçao.
Fiz um consorcio em junho de 2022 cota269 grupo 0746,no inicio vinha pagando as sem dificuldades, mais a partir de um certo período comecei a sentir dificuldades de efetuar o pagamento das parcelas. o contrato que fiz era um valor at[e alto com incio de parcelas no valor de R4 2.535,44 que seria as primeiras 24 parcelas, depois as parcelas voltaria ao preço normal que seria o dobro do valor. Com tudo, consegui pagar apenas 13 parcelas no valor de reduzido de 2.535,44, parei de pagar por motivos financeiros.
O contrato /GRUPO foi cancelado por nao ter mais efetuado os pagamentos. Diante disso venho tentando contornar essa situação. ja que ja falaram que só recebo esse valor pagoa após o termino da cota.
mas. o vendedor me propos entrar em um novo grupo que poderia até um valor menor do que eu havia feito no primero para que as parcelas ficassem de acordo para pagamento regulares, e que poderia ultilizar o valor que ja paguei como lance para tentar uma contemplação, só que o engraçado é que quando falo em dar o valor pago como lance para ver se sou contemplado ele me fala que o valor só estar disponivel no final do grupo cancelado que eu participava, então eles querem que eu dou um lance que nao seja o valor que ja tenho la com eles. esse consorcio usam nosso dinheiro e na hora de devolver aparecem varias complicaçoes.

O consorcio maggi preciso solucionar essa situação","['Resposta da empresa\n12/03/2025 às 13:46\nOlá Sra. Vera, como vai?\n\nMeu nome é Cristiano, eu quem cuido dos processos do Reclame Aqui.\n\nReferente sua postagem neste canal, informamos que em cumprimento a Lei 11795/08, as normas do Banco Central e conforme consta no Regulamento Contratual disponível no site da Administradora (https://www.consorciomaggi.com.br/regulamentos/), a devolução dos valores pagos em cota cancelada pode ser realizada pela Administradora somente quando a cota for contemplada como cancelada nas assembleias mensais ou no término do prazo do Grupo.\n\nSegue trecho do Regulamento para melhor entendimento:\n\nPortanto, a Administradora é impedida de disponibilizar os valores pagos em cotas canceladas, mesmo que seja para utilização em cotas ativas, sem que atenda os critérios previstos segundo legislação específica (Lei 11795/08), ou seja, contemplação na assembleia específica para os cancelados ou após o termino do prazo contratado na aquisição da cota.\n\nGostaríamos muito em poder ajuda-la, mas infelizmente não podemos realizar a devolução de outra forma, pois se assim o fizermos estaremos descumprindo a legislação que trata deste assunto.\n\nO resultado das assembleias (e da cota sorteada entre os desistentes) pode ser acompanhado através do site www.consorciomaggi.com.br/assembleias, mas quando for contemplada, e esperamos que seja em breve, entraremos em contato informando!\n\nEm caso de dúvidas, a Central de Atendimento está à disposição nos telefones 0800-778-1100 e 11.4025-6000 ou no e-mail: contato@consorciomaggi.com.br.\nSolicitamos finalizar esta postagem como resolvida, atribuindo sua nota ao meu atendimento prestado.\n\nAtenciosamente,\nCristiano Demarchi\nMaggi Administradora de Consórcios Ltda.', 'Réplica do consumidor\n12/03/2025 às 15:51\nsobre a minha reclamação. vcs naõ me deram uma solução para a minha reclamção. apenas enviou trechos de clasulas. quero uma solução para o descaso de vcs.', 'Réplica da empresa\n14/03/2025 às 15:13\nSra. Vera,\n\nReiteramos que, para devolução de valor pago em cota cancelada, a administradora se obriga a cumprir a legislação vigente, conforme LEI 11795/2008 acima mencionada, não ficando a critério da administradora quando realizar a devolução.\nOs valores pagos em conta cancelada, somente podem ser devolvidos através da contemplação da cota (cancelada) na assembleia mensal ou no termino do prazo do grupo.\n\nAtenciosamente,\n\nMaggi Administradora de Consorcios Ltda', 'Réplica do consumidor\n15/03/2025 às 16:16\nVcs ainda não estão me respondendo. Eu estou querendo fazer um novo consórcio de menor valor , porém que usar o dinheiro do consórcio ame lado para dar de lance . Só que vcs estão segurando o valor que não é de vcs.', 'Consideração final do consumidor\n15/03/2025 às 16:18\nExperiência pessima.']",4,False,Não resolvido
211516949,Cota contemplada e não pagam o vendedor,São Paulo - SP,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=6, tm_hour=21, tm_min=12, tm_sec=0, tm_wday=3, tm_yday=65, tm_isdst=-1)","Sou de São Paulo, fiz um Consorcio Maggi na concessionária Tiete caminhões de Guarulhos dia 27/01/2025, conforme combinado contemplei o consorcio na assembleia do dia 29/01/2025 e paguei o boleto do lance no dia seguinte!
Consorcio grupo 0750 cota 1381 contemplado fui atrás do caminhão, encontrei no interior de SP fiz laudo cautelar e dia 04/02/2025 solicitei ao José Conrado o pagamento ao vendedor!
Ele me pediu documentação de todo tipo preenchi ficha cadastral e foi para analise, retornou pedindo dados da minha MEI e devedor solidário, consegui o devedor solidário e enviei os documentos e foi para analise e mais alguns dias e sem retorno fiquei sabendo que o Jose Conrado foi demitido. Mais alguns dias e meu novo contato é o Alexandre, me pediu todos documentos novamente enviei e mais alguns dias de analise e até agora sem retorno, pedi cancelamento e reembolso do meu lance e nada, nem pagam o vendedor nem me devolvem o dinheiro para eu ir ao banco financiar o caminhão para trabalhar, hoje 06/03/2025 já se passaram mais de 1 mês de decepção com essa empresa. Sem resposta sem caminhão sem dinheiro do lance sem contemplação, não pagam o vendedor..
enfim, pessoal não recomendo esse consorcio, na hora de vender atendimento nota 1000, após contemplar zero atendimento e detalhe que estão em desacordo com as regras do Banco Central que diz claramente que carta contemplada tem o prazo para pagamento ao vendedor de 3 dias uteis, e a analise de credito deve ser feita antes da contemplação.

Encontrei inúmeras reclamações contra a Maggi, pena que encontrei tarde demais. eles não se importam com o cliente, não tem nem protocolo de atendimento, descaso total.","['Resposta da empresa\n13/03/2025 às 18:15\nOlá Sr. Kleber,\nTudo bem?\n\nConforme nosso contato nesta data, e tendo sido enviado em seu e-mail o comprovante do pagamento do crédito, peço a gentileza de avaliar meu atendimento, como RESOLVIDO, atribuindo a nota que julgar pertinente.\n\nAtenciosamente,\n\nMaggi Administradora de Consorcios Ltda', 'Consideração final do consumidor\n14/03/2025 às 14:04\nPagaram finalmente meu consórcio !\nReclame aqui ajudou muito !\nDepois de passar por 3 atendentes, e muita dor de cabeça recebi a ligação e email do Cristiano da Maggi que deu muita atenção parabéns ao Cristiano que Deus o abençoe a consiga um emprego em uma ótima e séria empresa. Todos deveriam ser igual o Cristiano!\nForam 37 dias entre a data de compra do veiculo e o pagamento ao vendedor.']",3,False,Resolvido
210222561,Devolução do valor,Sorocaba - SP,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=18, tm_hour=11, tm_min=1, tm_sec=0, tm_wday=1, tm_yday=49, tm_isdst=-1)","A tempo atrás fiz um consórcio, e por motivos financeiros não foi possível dar continuidade, o consórcio já encerrou entrei em contato via e-mail e pelo telefone para solicitar os valores que foi pago , que encerrando o grupo é o direito meu receber a devolução do valor , porém não dão retorno ( protocolo) de tel 10485129, fora os emaisl enviado anterior ao contato por telefone, solicito a devolução dos valores conforme me garantido por lei, se necessário darei continuidade tbm pela procon","['Resposta da empresa\n18/02/2025 às 16:40\nOlá Sra. Viviane,\n\nReferente suas colocações nesta postagem, informo que o pagamento referente sua devolução já está programado, conforme nosso contato realizado nesta data.\n\nAtenciosamente,\n\nMaggi Adm. de Consorcios Ltda.', 'Consideração final do consumidor\n27/02/2025 às 21:07\nProblema resolvido após a reclamação']",4,False,Resolvido
209675769,Ao consórcio Maggi,Barreiras - BA,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=11, tm_hour=18, tm_min=1, tm_sec=0, tm_wday=1, tm_yday=42, tm_isdst=-1)","Depois que reclamei agora aparece alguém,porque que não apareceu no iníhttps://******* gente que não sabe de nada meu problema não foi resolvido .esses artigos que você publicou eu sei de co.","['Resposta da empresa\n19/02/2025 às 11:39\nSr. Julio.\nPara que possamos responder nesta plataforma sobre sua reclamação, precisamos que o senhor deixe claro qual o problema que não foi resolvido.\nPor favor, solicitamos que o senhor faça uma réplica nesta plataforma, esclarecendo o que resolveria o seu problema.\nPEDIMOS NÃO FINALIZAR ESTA RECLAMAÇÃO, pois iremos analisar suas considerações e responder ao senhor nesta plataforma.\nAguardamos suas informações e desde já agradecemos.\nMaggi Administradora de Consórcios Ltda.', 'Réplica do consumidor\n19/02/2025 às 19:14\nVamos lá mais uma vês,eu tenho uma cota que está bloqueada liguei ,mandei mensagem pelo whatsapp e não consegui reativar, porém Elis falarão quê no momento não erra possível reativar a cota ,que era pra mim espera.o que eu quero e só reativar a cota e mudar para o valor de uma moto e só isso e nada mais,eu não sei o porquê de tanta dificuldade para fazer isso.e só mim ligar quê explico melhor.', 'Réplica da empresa\n24/02/2025 às 15:01\nOlá Sr. Julio, tudo bem?\nConforme já informamos na reclamação anterior, e esclarecemos novamente em ligação nesta data, o grupo que o senhor participa não tem créditos de motos, somente de carros.\nA menor carta de crédito de seu grupo é a que já informamos na reclamação anterior (valor de R$ 74.590,00), ficando a parcela mensal em R$ 1.030,00.\nHoje temos vagas disponíveis no grupo para reativar, caso queira.\nComo o senhor não quer reativar agora, e diz que pretende reativar num futuro próximo, pedimos que nos contate, para verificarmos se teremos vagas disponíveis no seu grupo, quando desejar a reativação.\nEnquanto sua cota não é reativada ela continua participando mensalmente do sorteio entre os desistentes para devolução das parcelas pagas, de acordo com a legislação de consórcios (Lei 11795/08).\nEsperamos que tenhamos esclarecido todos os pontos e solicitamos finalizar esta postagem como resolvida, atribuindo sua nota ao atendimento prestado através deste canal.\nAtenciosamente,\nMaggi Administradora de Consórcios Ltda.', 'Consideração final do consumidor\n24/02/2025 às 15:12\nPor enquanto foi resolvido.']",5,True,Resolvido
209608605,Ao consórcio Maggi,Barreiras - BA,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=11, tm_hour=9, tm_min=19, tm_sec=0, tm_wday=1, tm_yday=42, tm_isdst=-1)","Eu queria reativar a cota que cancelei mas não consegui,liga pra eles não resolve,manda mensagem no WhatsApp também não resolve nada . esse consórcio e uma [Editado pelo Reclame Aqui] não entra nesse consórcio e bomba só dor de cabeça sai fora você que vai fazer consórcio aí não faça com essa empresa Maggi.","['Resposta da empresa\n11/02/2025 às 16:31\nOlá Sr. Julio, tudo bem?\nTentamos ligar ao seu fone, porém não fomos atendidos.\nDiante de sua informação que gostaria de reativar sua cota com um crédito menor, informamos que o grupo do qual participa é um grupo baseado em créditos de veículos, sendo o menor crédito no valor de R$ 74.590,00 (Kwid Zen 1.0).\nCom essa carta de crédito, suas parcelas passariam a partir de fevereiro/25 para o valor de R$ 1.030,00.\nCaso tenha interesse e condições, permanecemos à disposição para seguir no assunto da reativação.\nAtenciosamente,\nMaggi Administradora de Consórcios Ltda.', 'Réplica do consumidor\n11/02/2025 às 16:47\nNão foi essa proposta que pedir Elis que fizero o e enviou,meu telefone e o mesmo não mudou.', 'Consideração final do consumidor\n11/02/2025 às 16:49\nAtendimento péssimo ruim.', 'Consideração final da empresa\n11/02/2025 às 17:28\nLigamos nesta data em momentos diferentes ao seu fone, que consta em nosso cadastro e inclusive nesta postagem, mas o senhor não atendeu nossa ligação.\nA sua reclamação acima é feita dizendo que queria reativar sua cota, e fizemos a proposta de reativação em nossa resposta.\nA outra proposta que o senhor fez nesta data, em nossa Central de Atendimento, de devolução imediata, não pode ser atendida, pois como desistente sua cota está participando mensalmente das assembleias de contemplação, e quando for contemplada em assembleia então poderemos realizar a devolução do valor pago ao fundo comum do grupo.\n\nAbaixo trechos da Lei 11795/08 (lei dos consórcios), em vigor desde 10/02/2009, a qual deve ser seguida por todas as administradoras de consórcio autorizadas pelo Banco Central:\n\nArt 22 - A contemplação é a atribuição ao consorciado do crédito para a aquisição de bem ou serviço, bem como para a restituição das parcelas pagas, no caso dos consorciados excluídos, nos termos do art. 30.\nArt.30 - O consorciado excluído não contemplado terá direito à restituição da importância paga ao fundo comum do grupo, cujo valor deve ser calculado com base no percentual amortizado do valor do bem ou serviço vigente na data de assembleia de contemplação, acrescido dos rendimentos da aplicação financeira a que estão sujeitos os recursos dos consorciados enquanto não utilizados pelo participante, na forma do art. 24, 1.\n\nAtenciosamente,\nMaggi Administradora de Consórcios Ltda.']",0,False,Não resolvido
209018895,Não me entregam o bem contemplado!,Rio de Janeiro - RJ,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=4, tm_hour=10, tm_min=34, tm_sec=0, tm_wday=1, tm_yday=35, tm_isdst=-1)","No início da negociação não me avisaram que estar com alguma restrição no serasa impossibilitava a entrega do bem.
Até ae, verdade! Porém, resolvi as pendências e ficou apenas uma, a qual estou resolvendo judicialmente e foi anteriormente avisado. A Intermediária, senhora Anna Galindo, toda hora me pedia uma documentação nova e falava ora uma coisa e ora outra.. assim, achei melhor pedir para falar com um gerente e até agora nada. Além da falta de comprometimento, mando mensagens e não responde, não manda o documento que pedi para enviar ao Juiz e muito menos devolvem o valor que depositei para pagamento ao Detran-RJ.
Preiteio meus direitos, materiais e morais.
Desde já, agradeço imensamente!","['Resposta da empresa\n06/02/2025 às 09:43\nOlá Sr. Thiago,\n\n\n\nReferente suas colocações, é de nosso interesse entender todo o ocorrido. Já solicitamos a nossa área comercial que o contate para tentarmos uma solução.\n\n\nAtenciosamente,\n\nMaggi Administradora de Consorcios Ltda.', 'Réplica do consumidor\n07/02/2025 às 10:58\nEstou aguardando ais de um mês, e a contemplação tem mais de três meses e meio', 'Consideração final do consumidor\n07/02/2025 às 10:59\nQuase quatro meses da contemplação e eles não me deram o bem.\nToda hora uma documentação diferente e há várias respostas por cada atendente.']",0,False,Não resolvido
208075105,Extrato de pagamento de cota cancelada,São Luís - MA,"time.struct_time(tm_year=2025, tm_mon=1, tm_mday=23, tm_hour=20, tm_min=52, tm_sec=0, tm_wday=3, tm_yday=23, tm_isdst=-1)","Existe uma dificuldade tão grande de acessar o extrato da minha conta que cancelei, estou precisando, mando email e ninguém me ajuda.","['Resposta da empresa\n24/01/2025 às 08:36\nOlá Sr. Natalino,\n\nÉ de nosso interesse apurar todo o ocorrido, já estamos verificando e em breve daremos retorno através do fone mencionado nesta postagem.\n\nAtenciosamente,\n\nMaggi Administradora de Consorcios Ltda.', 'Consideração final do consumidor\n24/01/2025 às 11:02\nBom']",8,True,Resolvido
207526169,Cota cancelada não não me pagaram,Carapicuíba - SP,"time.struct_time(tm_year=2025, tm_mon=1, tm_mday=17, tm_hour=14, tm_min=36, tm_sec=0, tm_wday=4, tm_yday=17, tm_isdst=-1)",Em 26/03 2019 fiz um consórcio Maggi de um veículo yares grupo 0622 e cota 831 paguei a primeira parcela novlor 829 reais porém por dificuldade não paguei mas está cancelado essa cota foi cancelada por falta de pagamento quero meu dinheiro de volta na época foi dito que esse grupo tinha uma duração de 5anos em março já completa 6 anos e não recebi nada ainda quero meu dinheiro corrigido *******,"['Resposta da empresa\n17/01/2025 às 17:27\nOlá Sr. Josival.\n\nReferente a devolução dos valores pagos, em cumprimento à Lei 11795/08, às normas do Banco Central e conforme consta no Regulamento Contratual assinado pelo senhor, mensalmente a Maggi Administradora de Consórcios realiza a assembleia de contemplações para a distribuição dos valores arrecadados pelo grupo, contemplando tanto os consorciados ativos (que utilizarão suas cartas de crédito) quanto os consorciados desistentes/excluídos (para devolução dos valores pagos).\n\nAbaixo trechos da Lei 11795/08 (lei dos consórcios), em vigor desde 10/02/2009, a qual deve ser seguida por TODAS as administradoras de consórcio autorizadas pelo Banco Central:\n\nArt 22 - A contemplação é a atribuição ao consorciado do crédito para a aquisição de bem ou serviço, bem como para a restituição das parcelas pagas, no caso dos consorciados excluídos, nos termos do art. 30.\n\nArt. 30 O consorciado excluído não contemplado terá direito à restituição da importância paga ao fundo comum do grupo, cujo valor deve ser calculado com base no percentual amortizado do valor do bem ou serviço vigente na data da assembleia de contemplação, acrescido dos rendimentos da aplicação financeira a que estão sujeitos os recursos dos consorciados enquanto não utilizados pelo participante, na forma do art. 24, 1.\n\n\nInformamos, adicionalmente, que no seu contrato de adesão consta o prazo contratado (87 meses) e durante este tempo sua cota está todo mês participando do sorteio dos desistentes. No Regulamento de Consórcio, que está anexo ao seu contrato de adesão, constam todas as informações sobre o funcionamento das devoluções (Artigo 11 Exclusão do Consorciado).\n\nO resultado das assembleias (e da cota sorteada entre os desistentes) pode ser acompanhado através do site www.consorciomaggi.com.br/assembleias, mas quando for contemplada entraremos em contato informando-o. Por isso é importante manter seu cadastro atualizado conosco.\n\n\nAtenciosamente,\n\nMaggi Administradora de Consórcios Ltda.', 'Réplica do consumidor\n20/01/2025 às 17:52\nBoa tarde já tive outros consórcio por exemplo consórcio da Volkswagen desistir e foi devolvido antes do encerramento do grupo e não foi sorteio nem carta contemplada e tão inverdade suas informações que em 5 anos e seis meses nunca fui sorteado e olha que esse 0622 não tem nem 100 participantes em 66 meses e impossível que não seja sorteado minha cota me desculpa mas seu esclarecimentos pode converser pessoas leigas agora não fiquei sastifeito com essa resposta evasiva sem contar que a Maggi está trabalhando com meu dinheiro e recebo esse tipo de respos deslavada', 'Consideração final do consumidor\n20/01/2025 às 17:57\nNo meu ponto de vista desagradável fui ludibriado pelo vendedor Eliseu que por sua vez não me explicou as regras e outra coisa um grupo que tem menos de 100 pessoas em 66mrzes nunca tive um sorteio']",0,False,Não resolvido
207163769,Maggi Consórcios gerando boletos de cobrança após pedido de cancelamento.,Mimoso do Sul - ES,"time.struct_time(tm_year=2025, tm_mon=1, tm_mday=14, tm_hour=6, tm_min=25, tm_sec=0, tm_wday=1, tm_yday=14, tm_isdst=-1)","Em 27 de novembro de 2024 solicitei ao Vendedor Márcio da Triumph de Vitória-ES, o cancelamento da minha cota 312 no grupo 0638.
Já em janeiro identifiquei via buscador de app bancário, boletos gerados após essa data.
Entrei em contato com um operador da Maggi consórcio, que disse ter cancelado.
Hoje identifiquei mais um boleto gerado em meu CPF, já é o terceiro gerado após minha solicitação de cancelamento.
É minha última tentativa antes de seguir para o Procon.","['Resposta da empresa\n14/01/2025 às 08:13\nOlá Sr. Lucas,\n\nÉ de nosso interesse apurar todo o ocorrido, já estamos verificando e em breve faremos contato através dos fones mencionados nesta postagem.\n\nAtenciosamente,\n\nMaggi Administradora de Consorcios Ltda.', 'Réplica da empresa\n14/01/2025 às 08:53\nSr. Lucas,\n\nConforme nosso contato via fone nesta data, informo que conforme solicitado sua cota já fora cancelada, pedimos a gentileza de desconsiderar os boletos enviados. Estamos enviando em seu e-mail extrato da cota, para que possa confirmar o cancelamento.\n\nAtenciosamente,\n\nMaggi Administradora de Consorcios Ltda.', 'Consideração final do consumidor\n16/01/2025 às 12:02\nEm contato telefônico, fui cordialmente atendido, e todas as informações foram claras, conforme réplica da empresa.']",10,True,Resolvido
206700799,Consórcio para aquisição de veículo automotor,Pará de Minas - MG,"time.struct_time(tm_year=2025, tm_mon=1, tm_mday=8, tm_hour=14, tm_min=34, tm_sec=0, tm_wday=2, tm_yday=8, tm_isdst=-1)","O Autor contratou junto a Ré em julho de 2017 um consórcio para aquisição de veículo automotor com duração de 120 meses, sob a proposta de n 181952, grupo/cota 723/182, no entanto, em razão de circunstâncias alheias a sua vontade, o Autor foi obrigado a pedir sua exclusão do grupo de consórcio, tendo permanecido vinculado ao contrato pelo período de seis meses.

Durante este período o Autor realizou regularmente o pagamento das prestações inerentes ao consórcio chegando ao montante de R$ 9.206,89 (hum mil, quinhentos e quarenta e seis reais e trinta e cinco centavos), sendo que destes, R$ 6.006,99 (seis mil e seis reais e noventa e nove centavos) correspondem à taxa de administração paga antecipadamente Extrato do Consorciado.

Como é cediço, o ressarcimento dos valores pagos pelo consorciado excluído só ocorre ao final do consórcio, então, o Autor aguardou até o mês de Novembro de 2020 quando ocorreu a última assembleia de seu grupo para poder ter acesso ao valor que lhe era devido.

Ocorre que no momento de ter ressarcido os valores que lhe eram de direito o Autor foi surpreendido com uma carta o qual informa a disponibilidade dos valores de apenas R$ 2.681,34 (dois mil, seiscentos e oitenta e um reais e trinta e quatro centavos), sob a alegação de que se tratava de retenção da Taxa de Administração.

No entanto, a permanência do Autor no grupo de consórcio foi de apenas seis meses, assim o valor da Taxa de Administração a ser retido deve observar a proporcionalidade do tempo de vínculo com o consórcio e não o valor integral.

Nos termos do que foi acordado entre as partes, a taxa de administração corresponde a 15% do valor do crédito.

O valor do crédito do consórcio correspondia a R$ 133.663,00 (cento e trinta e três mil, seiscentos e sessenta e três reais). Logo, o valor total da taxa de administração corresponde a R$ 20.049,45 (vinte mil, quarenta e nove reais e quarenta e cinco centavos), reiterando-se que de tal valor, R$ 6.006,99 foram pagos de forma antecipada.

Caso a taxa de administração fosse rateada mensalmente pelo prazo de duração do consórcio, daria um valor mensal de R$ 167,07 (cent e sessenta e sete reais e sete centavos).

Uma vez que o Autor permaneceu no consórcio por 6 meses, o valor devido a título de taxa de administração seria R$ 1.144,68 (hum mil, cento e quarenta e quatro reais e sessenta e oito reais), eis que:

Sendo assim, deveria ter sido retido do Autor apenas a quantia de R$ 1.144,68. Frisa-se que o Autor contatou a Ré, apresentando tais demonstrações, objetivando receber a diferença do que foi pago a título de antecipação da taxa de administração, mas não obteve sucesso.

Por discordar das alegações da Ré e entender que o valor da taxa de administração deve ser retido proporcionalmente ao tempo de permanência no grupo de consórcio e ainda diante da impossibilidade de resolver o problema administrativamente, ao Autor não resta outra alternativa que não seja buscar a prestação jurisdicional.

Deve ser salientado que o Autor não se opôs ao pagamento da Taxa de Administração. O que o Autor requer é que o pagamento/retenção seja feito em valor proporcional ao tempo em que participou do consórcio.

Peço uma solução para o caso.","['Resposta da empresa\n28/01/2025 às 11:00\nOlá Dra. Vanessa,\n\nConsiderando que as informações postadas neste canal, estão equivocadas e tendo sido feito os esclarecimentos necessários através de nosso contato telefônico sobre a legislação que trata das devoluções em cotas canceladas, solicitamos que realize avaliação, considerando como RESOLVIDA, ou que DESABILITE, esta postagem realizada.\n\nAtenciosamente,\nMaggi Administradora de Consorcios Ltda.', 'Consideração final do consumidor\n30/01/2025 às 15:31\nNÃO DEVOLVEURAM VALOR DAS PARCELAS JÁ PAGAS, MAS RESPONDERAM A RECLAMAÇÃO']",1,False,Resolvido
