id,titulo,lugar,data,reclamacao_base,interacoes,rating,again,status
212964339,Confirmar autenticidade do funcionário,São Paulo - SP,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=24, tm_hour=15, tm_min=42, tm_sec=0, tm_wday=0, tm_yday=83, tm_isdst=-1)",Boa tarde! Recebi o contato da ***** via WhatsApp (telefone *****) para simulação de empréstimo e gostaria de confirmar se ela realmente trabalha para vocês? Obrigada!,"['Resposta da empresa\n24/03/2025 às 16:17\nOlá Ariane, como vai? Esperamos que bem!\n\nConforme falamos via WhatsApp, a Amanda Matos faz parte do time de colaboradores do Grupo Euro17.\n\nVocê pode realizar qualquer transação com total tranquilidade, sabendo que seu atendimento contará com uma pessoa experiente e dedicada.\n\nAgradecemos a sua preocupação e cuidado. Se tiver mais alguma dúvida ou precisar de ajuda adicional, não hesite em nos procurar.\n\nEstamos aqui para ajudar!\nEquipe de Qualidade - Grupo Euro 17.', 'Consideração final do consumidor\n24/03/2025 às 16:17\nSuper rápidos e atenciosos. Obrigada!']",10,True,Resolvido
212697139,empresa,Timon - MA,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=20, tm_hour=19, tm_min=0, tm_sec=0, tm_wday=3, tm_yday=79, tm_isdst=-1)",gostaria de saber se atendente mayara duarte faz parte da equipe é comum tambem enviarem um link para cadastro de prova de vida?,"['Resposta da empresa\n21/03/2025 às 15:04\nOlá Kathlen, como vai? Esperamos que bem!\n\nConforme falamos via WhatsApp, a Mayara Duarte faz parte do time de colaboradores do Grupo Euro17.\n\nVocê pode realizar qualquer transação com total tranquilidade, sabendo que seu atendimento contará com uma pessoa experiente e dedicada.\n\nAgradecemos a sua preocupação e cuidado. Se tiver mais alguma dúvida ou precisar de ajuda adicional, não hesite em nos procurar.\n\nEstamos aqui para ajudar!\nEquipe de Qualidade - Grupo Euro 17.', 'Consideração final do consumidor\n21/03/2025 às 21:09\ngostei do atendimento, empresa confiável']",10,True,Resolvido
212676389,Entraram em contato,Manaus - AM,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=20, tm_hour=15, tm_min=35, tm_sec=0, tm_wday=3, tm_yday=79, tm_isdst=-1)",***** faz parte da equipe euro***** crédito ??? Entrou em contato e pediu meus dados .,"['Resposta da empresa\n21/03/2025 às 13:12\nOlá Ellen, como vai? Esperamos que bem!\n\nConforme falamos via WhatsApp, a Samantha Andrade faz parte do time de colaboradores do Grupo Euro17.\n\nVocê pode realizar qualquer transação com total tranquilidade, sabendo que seu atendimento contará com uma pessoa experiente e dedicada.\n\nAgradecemos a sua preocupação e cuidado. Se tiver mais alguma dúvida ou precisar de ajuda adicional, não hesite em nos procurar.\n\nEstamos aqui para ajudar!\nEquipe de Qualidade - Grupo Euro 17.', 'Consideração final do consumidor\n21/03/2025 às 13:48\nResolveram com rapidez e agilidade minha questão e tens uma excelente avaliação de crédito facilitando a aprovação']",10,True,Resolvido
212487145,Validar contatos,Joinville - SC,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=18, tm_hour=15, tm_min=45, tm_sec=0, tm_wday=1, tm_yday=77, tm_isdst=-1)","Boa tarde!

Gostaria de saber se os números ******* - Gilciamara Gomes e ******* - Gabriel Santos são da Euro 17?","['Resposta da empresa\n18/03/2025 às 16:25\nOlá Ana Paula, como vai? Esperamos que bem!\n\nConforme falamos via WhatsApp, a Gilciamara Gomes e o Gabriel Santos fazem parte do time de colaboradores do Grupo Euro17.\n\nVocê pode realizar qualquer transação com total tranquilidade, sabendo que seu atendimento contará com pessoas experientes e dedicadas.\n\nAgradecemos a sua preocupação e cuidado. Se tiver mais alguma dúvida ou precisar de ajuda adicional, não hesite em nos procurar.\n\nEstamos aqui para ajudar!\nEquipe de Qualidade - Grupo Euro 17.', 'Consideração final do consumidor\n18/03/2025 às 16:32\nRetorno rapidido']",10,True,Resolvido
212344913,Esclarecimento,Jaboatão dos Guararapes - PE,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=17, tm_hour=11, tm_min=11, tm_sec=0, tm_wday=0, tm_yday=76, tm_isdst=-1)",Gostaria de saber se o Lucas Santos que utiliza o telefone******* é funcionário de vocês?,"['Resposta da empresa\n17/03/2025 às 11:26\nOlá Júlia, como vai? Esperamos que bem!\n\nConforme falamos via WhatsApp, o Lucas Santos faz parte do time de colaboradores do Grupo Euro17.\n\nVocê pode realizar qualquer transação com total tranquilidade, sabendo que seu atendimento contará com uma pessoa experiente e dedicada.\n\nAgradecemos a sua preocupação e cuidado. Se tiver mais alguma dúvida ou precisar de ajuda adicional, não hesite em nos procurar.\n\nEstamos aqui para ajudar!\nEquipe de Qualidade - Grupo Euro 17.', 'Consideração final do consumidor\n17/03/2025 às 11:32\nRápido.']",6,True,Resolvido
212341085,Confirmação de contato,Santo André - SP,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=17, tm_hour=10, tm_min=44, tm_sec=0, tm_wday=0, tm_yday=76, tm_isdst=-1)","Oi pessoal!

Tudo bem?

Só queria confirmar se Vanessa Gomes faz parte do quadro de funcionários de vocês. O contato foi feito por ela usando o número*******.

Busco a confirmação, pois não vi outras pessoas perguntando sobre ela e também não encontrei perfil no LinkedIn.

Abração","['Resposta da empresa\n17/03/2025 às 11:00\nOlá Bruno, como vai? Esperamos que bem!\n\nConforme falamos via WhatsApp, a Vanessa Gomes faz parte do time de colaboradores do Grupo Euro17.\n\nVocê pode realizar qualquer transação com total tranquilidade, sabendo que seu atendimento contará com uma pessoa experiente e dedicada.\n\nAgradecemos a sua preocupação e cuidado. Se tiver mais alguma dúvida ou precisar de ajuda adicional, não hesite em nos procurar.\n\nEstamos aqui para ajudar!\nEquipe de Qualidade - Grupo Euro 17.', 'Consideração final do consumidor\n17/03/2025 às 14:29\nRetorno super rápido e esclarecedor']",10,True,Resolvido
212099729,Quero receber uma confirmação,Barueri - SP,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=13, tm_hour=15, tm_min=16, tm_sec=0, tm_wday=3, tm_yday=72, tm_isdst=-1)","O número, ******* me chamou falando que tenho um empréstimo disponível, e quem né atendeu foi a Vanessa Silva, queria saber se é vocês mesmo","['Resposta da empresa\n14/03/2025 às 08:53\nOlá Maria, como vai? Esperamos que bem!\n\nConforme falamos via WhatsApp, a Vanessa Silva faz parte do time de colaboradores do Grupo Euro17.\n\nVocê pode realizar qualquer transação com total tranquilidade, sabendo que seu atendimento contará com uma pessoa experiente e dedicada.\n\nAgradecemos a sua preocupação e cuidado. Se tiver mais alguma dúvida ou precisar de ajuda adicional, não hesite em nos procurar.\n\nEstamos aqui para ajudar!\nEquipe de Qualidade - Grupo Euro 17.', 'Consideração final do consumidor\n14/03/2025 às 08:55\nAtendimento muito bom e rapido']",10,True,Resolvido
211968897,Sem resposta,Porto Alegre - RS,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=12, tm_hour=11, tm_min=10, tm_sec=0, tm_wday=2, tm_yday=71, tm_isdst=-1)",Fui contatada por um consultor chamado William Gomes pediu a documentação foi enviado tudo mas não visualiza as mensagens estou no aguardo obg.,"['Resposta da empresa\n12/03/2025 às 16:13\nOlá, ketlin\nComo vai? Esperamos que bem!\n\nConforme conversamos pelo WhatsApp, gostaríamos de informar que o Willians Gomes faz parte do time de colaboradores do Grupo Euro17. Além disso, o agente entrou em contato com a senhora no dia 12/03 para esclarecer suas dúvidas e dar continuidade ao processo de solicitação do empréstimo, sem deixar de responder às mensagens\n\nSe tiver alguma dúvida ou precisar de assistência adicional, não hesite em nos contatar. Estamos à disposição para ajudar!\nEquipe de Qualidade – Grupo Euro17', 'Consideração final do consumidor\n12/03/2025 às 16:49\nBom atendimento']",8,True,Resolvido
211873931,Contato,São Paulo - SP,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=11, tm_hour=12, tm_min=43, tm_sec=0, tm_wday=1, tm_yday=70, tm_isdst=-1)","Boa tarde, tudo bem? recebi o contato de Ana Divino, e gostaria de saber se ela realmente trabalha com vocês.

Obrigada","['Resposta da empresa\n11/03/2025 às 13:40\nOlá Daniele, como vai? Esperamos que bem!\n\nConforme falamos via WhatsApp, Ana Divino faz parte do time de colaboradores do Grupo Euro17.\n\nVocê pode realizar qualquer transação com total tranquilidade, sabendo que seu atendimento contará com uma pessoa experiente e dedicada.\n\nAgradecemos a sua preocupação e cuidado. Se tiver mais alguma dúvida ou precisar de ajuda adicional, não hesite em nos procurar.\n\nEstamos aqui para ajudar!\nEquipe de Qualidade - Grupo Euro 17.', 'Consideração final do consumidor\n11/03/2025 às 13:44\nFernanda foi muito simpática e solicita']",10,True,Resolvido
211857735,Duvida,Santo André - SP,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=11, tm_hour=10, tm_min=48, tm_sec=0, tm_wday=1, tm_yday=70, tm_isdst=-1)",Gostaria de saber se o Telefone/WhatsApp ***** do atendente ***** pertence a empresa euro17.,"['Resposta da empresa\n11/03/2025 às 11:32\nOlá Sophia, como vai? Esperamos que bem!\n\nConforme falamos via WhatsApp, o número 11939310925 faz parte do Grupo Euro17.\n\nVocê pode realizar qualquer transação com total tranquilidade, sabendo que seu atendimento contará com uma pessoa experiente e dedicada.\n\nAgradecemos a sua preocupação e cuidado. Se tiver mais alguma dúvida ou precisar de ajuda adicional, não hesite em nos procurar.\n\nEstamos aqui para ajudar!\nEquipe de Qualidade - Grupo Euro 17.', 'Consideração final do consumidor\n11/03/2025 às 11:33\nResposta rápida.']",10,True,Resolvido
211772485,Nenhum retorno,Aracaju - SE,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=10, tm_hour=14, tm_min=25, tm_sec=0, tm_wday=0, tm_yday=69, tm_isdst=-1)","Fiz um pedido de empréstimo consignado dia 5 de março na quarta-feira.
Foi enviado pra análise já
Porém entro em contato pra acompanhar e ninguém me responde só andamento do processo isso é falta de profissionalismo desde de sexta mando mensagem pro número *******","['Resposta da empresa\n11/03/2025 às 10:43\nOlá, Pedro\nComo vai? Esperamos que bem!\nConforme nossa conversa via WhatsApp, já entramos em contato com o senhor e estamos dando continuidade ao seu atendimento, mantendo-o sempre atualizado sobre o status da sua proposta.\nPedimos sinceras desculpas pelo transtorno, pois isso não reflete o padrão de atendimento que nos esforçamos para oferecer.\nSe tiver alguma dúvida ou precisar de assistência adicional, não hesite em nos contatar. Estamos à disposição para ajudar!\nEquipe de Qualidade – Grupo Euro17', 'Consideração final do consumidor\n11/03/2025 às 11:02\n.']",10,True,Resolvido
211614853,Validar funcionário,Campo Grande - MS,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=7, tm_hour=20, tm_min=49, tm_sec=0, tm_wday=4, tm_yday=66, tm_isdst=-1)",Gostaria de saber se Dayane lourusso faz parte da companhia de você.,"['Resposta da empresa\n10/03/2025 às 10:48\nOlá Luma, como vai? Esperamos que bem!\n\nConforme falamos via WhatsApp, a Dayane lourusso faz parte do time de colaboradores do Grupo Euro17.\n\nVocê pode realizar qualquer transação com total tranquilidade, sabendo que seu atendimento contará com uma pessoa experiente e dedicada.\n\nAgradecemos a sua preocupação e cuidado. Se tiver mais alguma dúvida ou precisar de ajuda adicional, não hesite em nos procurar.\n\nEstamos aqui para ajudar!\nEquipe de Qualidade - Grupo Euro 17.', 'Consideração final do consumidor\n11/03/2025 às 15:49\nConsegui o empréstimo de forma segura. Recomendo']",10,True,Resolvido
