id,titulo,lugar,data,reclamacao_base,interacoes,rating,again,status
211910675,Emissão de boleto Indevido,Parobé - RS,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=11, tm_hour=17, tm_min=41, tm_sec=0, tm_wday=1, tm_yday=70, tm_isdst=-1)","Boleto de cobrança indevida emitida em meu CPF, no nome de Jose Flavio Bueno Fischer (tabelionato fischer), solicito agora que não emita mais em meu nome pois desconheço vinculo com essa pessoa e o banco.","['Resposta da empresa\n11/03/2025 às 18:08\nSr. John, boa tarde!\n\nConforme conversamos por ligação, meu nome é Andreza e sou a responsável pelo acompanhamento da sua solicitação registrada na plataforma Reclame Aqui - ID: 211910675.\n\nFicamos satisfeitos em saber que a questão mencionada foi resolvida com a identificação do beneficiário/emitente.\n\nInformamos que a Unicred opera com inúmeros serviços financeiros a seus cooperados, incluindo o serviço de cobrança no qual foi citado na manifestação. Contratualmente e em atendimento à Lei Complementar 105, de 10 de janeiro de 2001 (que dispõe sobre sigilo bancário), não possuímos responsabilidade sobre os boletos emitidos pelos cooperados da Unicred em razão de sermos apenas o agente financeiro do serviço contratado, não cabendo (legalmente) quaisquer responsabilidades por suas transações como cancelamento, exclusão ou resolução de eventuais conflitos entre as partes.\n\nAssim sendo, orientamos estritamente o contato com o beneficiário do boleto, para buscar o esclarecimento da questão.\n\nSolicito a gentileza de avaliar o meu atendimento na Plataforma do Reclame Aqui.\n\nSeguimos à disposição!\n\nAtenciosamente,\n\nAndreza\nOuvidoria Unicred', 'Consideração final do consumidor\n25/03/2025 às 13:27\n.']",10,True,Resolvido
211821191,Empréstimo,Pereiras - SP,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=10, tm_hour=21, tm_min=31, tm_sec=0, tm_wday=0, tm_yday=69, tm_isdst=-1)","Solicitei um empréstimo na empresa Unicred CNPJ :00.315.557/0001-11
Ativo regularizado em 23/11/1994
Tudo que foi solicitado eu enviei, e começaram a cobrar as taxas, sendo que para um empréstimo de R5.000,00 eu já paguei R$ 2.749,99 e agora me pediram mais uma taxa de R$ 720,00 a título do LGPD, portanto sem essa última taxa eu já paguei mais da metade do emprestimo
Minha pergunta : é normal termos que pagar todos esses valores
E , aonde recebo ameaças de abrirem um processo prendendo meu CPF, de modo que não poderei mais movimentar contas em banco , nem possuir cartões de crédito
Gostaria que me devolvessem os valores que já enviei para essa empresa","['Resposta da empresa\n11/03/2025 às 12:21\nSra. Maria Elisa, boa tarde!\n\nMeu nome é Andreza e sou responsável pelo acompanhamento da sua solicitação registrada na plataforma Reclame Aqui, ID: 211821191.\n\nInicialmente, gostaríamos de esclarecer que não localizamos nenhum vínculo com seus dados em nossa base cadastral, onde acreditamos que seu caso possivelmente se trata de uma tentativa de phishing, onde terceiros não autorizados oferecem produtos e serviços em nome de empresas legítimas, buscando obter vantagens de forma ilegal. Ratificamos que nossos produtos e serviços são direcionados apenas aos nossos cooperados, exclusivamente por meio dos canais oficiais de atendimento da Unicred.\n\nA Unicred é uma Instituição Financeira Cooperativa e, por isso, oferecemos nossos produtos e serviços exclusivamente aos cooperados ou associados das cooperativas singulares que fazem parte do nosso sistema. Seguimos as diretrizes estabelecidas pela Lei n 5.764, que define a Política Nacional de Cooperativismo, bem como pela Lei Complementar n 196, que regulamenta o Sistema Nacional de Crédito Cooperativo. Após análise detalhada, enfatizamos que a Unicred não tem qualquer relação com os fatos mencionados pela senhora.\n\nAproveitamos para disponibilizar orientações evitando lesões por práticas indevidas https://www.unicred.com.br/site/seg_guia_de_prevencao_de_fraude.pdf, assim como disponibilizamos todos os nossos canais de atendimento para, quando acionados averiguar e orientar previamente esses casos.\n\nAlertamos que instituições financeiras, órgãos reguladores e entidades de relevância no mercado têm intensificado o combate a esse tipo de situação. Além disso, existem orientações sobre como se proteger contra [Editado pelo Reclame Aqui] em sites confiáveis que representam instituições financeiras, como:\n\nhttps://portal.febraban.org.br/AntiFraude/\nhttps://www.bcb.gov.br/meubc/faqs/s/[Editado pelo Reclame Aqui]\n\nTentamos contato telefônico na data de hoje, para conversamos a respeito dos esclarecimentos acima, mas não obtivemos sucesso.\n\nPermanecemos à disposição para quaisquer esclarecimentos adicionais.\n\nAtenciosamente,\n\nAndreza\nOuvidoria Unicred', 'Consideração final do consumidor\n13/03/2025 às 09:46\nResponde rápido']",8,True,Resolvido
211226201,Cobrança indevida,Valinhos - SP,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=5, tm_hour=12, tm_min=13, tm_sec=0, tm_wday=2, tm_yday=64, tm_isdst=-1)","Todo mês essa empresa lança boletos DDA em meu nome. Só fiquei sabendo porque consulto no meu banco. Não tenho e nunca tive qualquer vínculo com essa cooperativa, nem mesmo sei onde conseguiram meus dados. E sao valores altos, acima de mil reais mensais. Solicito exclusão imediata desses lançamentos, inclusive dos que contam como vencidos.
Cnpj da cooperativa: 71.884.498/0001-40","['Resposta da empresa\n05/03/2025 às 17:53\nSra. Ana Camila, boa tarde!\n\nConforme conversamos via WhatsApp, meu nome é Andreza e sou a responsável pelo acompanhamento da sua solicitação registrada na plataforma Reclame Aqui - ID: 211226201.\n\nFicamos satisfeitos em saber que a questão mencionada foi resolvida com a identificação do beneficiário/emitente.\n\nInformamos que a Unicred opera com inúmeros serviços financeiros a seus cooperados, incluindo o serviço de cobrança no qual foi citado na manifestação. Contratualmente e em atendimento à Lei Complementar 105, de 10 de janeiro de 2001 (que dispõe sobre sigilo bancário), não possuímos responsabilidade sobre os boletos emitidos pelos cooperados da Unicred em razão de sermos apenas o agente financeiro do serviço contratado, não cabendo (legalmente) quaisquer responsabilidades por suas transações como cancelamento, exclusão ou resolução de eventuais conflitos entre as partes.\n\nAssim sendo, orientamos estritamente o contato com o beneficiário do boleto, para buscar o esclarecimento da questão.\n\nSolicito a gentileza de avaliar o meu atendimento na Plataforma do Reclame Aqui.\n\nSeguimos à disposição!\n\nAtenciosamente,\n\nAndreza\nOuvidoria Unicred', 'Consideração final do consumidor\n06/03/2025 às 22:10\nA atendente foi muito prestativa e educada, conseguiu buscar as informações de maneira muito eficiente. No entanto, gostaria de sugerir que a Unicred adotasse procedimentos de maior transparência, inclusive junto aos seus cooperados, para que esse tipo se evento não volte a ocorrer.']",8,False,Resolvido
211110511,Abri uma conta e apos cancelar não recebi os 1000r$ de volta,Santo Amaro da Imperatriz - SC,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=28, tm_hour=14, tm_min=58, tm_sec=0, tm_wday=4, tm_yday=59, tm_isdst=-1)","Abri uma conta na unicred para financiar um veiculo, alem de demorar 2 semanas pra abrie e fazer o financiamento acabaram nao aprovando, sendo que em todos os outros bancos aprovou automatico o valor.
Fiz meu financiamento no personalité e pedi o cancelamento da conta da unicred, cancelaram e até agora nao me pagaram os 1000,00 reais de volta que paguei pra abrir a conta, ja estou esperando ha 1 mes todo processo, so dizem que vao verificar com superior e nada.","['Resposta da empresa\n11/03/2025 às 15:21\nSr. Bruno, boa tarde!\n\nMeu nome é Andreza e sou responsável pelo acompanhamento da sua solicitação registrada na plataforma Reclame Aqui, ID: 211110511.\n\nQuanto à concessão de crédito e limites, esses são determinados por meio de análise de crédito e outros critérios estabelecidos pela cooperativa. Reiteramos que essa análise é feita de forma igualitária a todos os cooperados, com base nas políticas de crédito definidas pela cooperativa.\n\nAcrescentamos também que a cooperativa ou qualquer instituição financeira estabelecida deve criar os seus próprios regramentos, baseados no princípio do livre exercício de atividade econômica, conforme previsto pelo artigo 170 da Constituição Federal (parágrafo único).\n\nArt. 170. A ordem econômica, fundada na valorização do trabalho humano e na livre iniciativa, tem por fim assegurar a todos existências dignas, conforme os ditames da justiça social, observados os seguintes princípios: Parágrafo único. É assegurado a todos o livre exercício de qualquer atividade econômica, independentemente de autorização de órgãos públicos, salvo nos casos previstos em lei.\n\nEsclarecemos que as Cooperativas de Crédito seguem as diretrizes estabelecidas pela Lei n 5.764/71, que institui a Política Nacional de Cooperativismo, bem como pela Lei Complementar n 196/2002, que regula o Sistema Nacional de Crédito Cooperativo. O Estatuto Social de cada cooperativa contém as diretrizes específicas da sociedade, incluindo os direitos e deveres dos cooperados. Todos os estatutos são publicados nos sites das cooperativas.\n\nO Estatuto Social da Unicred está disponível integralmente no site: https://www.unicred.com.br/valorcapital/institucional/governanca/estatuto-social---unicred-valor-capital\n\nPor deliberalidade da cooperativa, a restituição de seu capital social se deu de forma imediata.\n\nPor fim, a cooperativa permanece à disposição para quaisquer esclarecimentos adicionais que se façam necessários.\n\nAtenciosamente,\n\nAndreza\nOuvidoria Unicred', 'Consideração final do consumidor\n11/03/2025 às 17:35\nCom muita demora mais resolvido.']",0,False,Resolvido
210875565,Cobrança de boleto indevida.,Sumaré - SP,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=25, tm_hour=23, tm_min=51, tm_sec=0, tm_wday=1, tm_yday=56, tm_isdst=-1)","Boa noite!
Já faz mais ou menos um mês que eu abri uma conta em um banco novo, e nele recebi uma notificação pelo sobre boletos em minha conta corrente cujo beneficiário é a Cooperativa de Econ e Cred Mutuo dos Medicos e Demais Profissionais da Area de Saude do Estado de Sao Paulo Ltda. Unicred do Estado de Sao Paulo (CNPJ 71.884.498/0001-40).
Pesquisei sobre o CNPJ a procura da empresa e verifiquei que a Unicred como instituição financeira cooperativa, oferece aos seus cooperados diversos produtos e serviços, dentre eles a solicitação de crédito, ou até mesmo ferramentas para emissão de cobrança.
Porém, desconheço tal instituição citada ou qualquer outra empresa do seu grupo. Nunca contratei absolutamente nenhum serviço, logo, entendo que estes boletos de cobrança em minha conta corrente sejam no mínimo indevidos e duvidosos.
Sendo assim, venho por meio comunicado verificar sobre o que se trata a mencionada cobrança.","['Resposta da empresa\n26/02/2025 às 12:32\nSra. Giovanna, boa tarde!\n\nConforme conversamos via WhatsApp, meu nome é Andreza e sou a responsável pelo acompanhamento da sua solicitação registrada na plataforma Reclame Aqui - ID: 210875565.\n\nFicamos satisfeitos em saber que a questão mencionada foi resolvida com a identificação do beneficiário/emitente.\n\nInformamos que a Unicred opera com inúmeros serviços financeiros a seus cooperados, incluindo o serviço de cobrança no qual foi citado na manifestação. Contratualmente e em atendimento à Lei Complementar 105, de 10 de janeiro de 2001 (que dispõe sobre sigilo bancário), não possuímos responsabilidade sobre os boletos emitidos pelos cooperados da Unicred em razão de sermos apenas o agente financeiro do serviço contratado, não cabendo (legalmente) quaisquer responsabilidades por suas transações como cancelamento, exclusão ou resolução de eventuais conflitos entre as partes.\n\nAssim sendo, orientamos estritamente o contato com o beneficiário do boleto, para buscar o esclarecimento da questão.\n\nSolicito a gentileza de avaliar o meu atendimento na Plataforma do Reclame Aqui.\n\nSeguimos à disposição!\n\nAtenciosamente,\n\nAndreza\nOuvidoria Unicred', 'Consideração final do consumidor\n12/03/2025 às 13:57\nAchei o atendimento muito correto, atendeu as expectativas com muita educação e rapidez.']",9,True,Resolvido
209953171,Cobrança indevida do cartão,Brasília - DF,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=14, tm_hour=14, tm_min=42, tm_sec=0, tm_wday=4, tm_yday=45, tm_isdst=-1)","Fiz duas reservas de carro, com bloqueio de mais de 7 mil reais por parte da locadora. O estorno foi realizado por eles corretamente. Porém a unicred, mesmo com esses 7 mil reais sendo pago, me cobrou indevidamente na fatura. E agora não estão querendo me devolver. A opção seria dar crédito na fatura, porém por uma questão do sistema deles eu não consigo fazer compras sem validação de SMS, e estou fora do Brasil (sem acesso a SMS). Eu preciso que eles façam o crédito do meu dinheiro de volta para minha conta. Mas estão criando todas as dificuldades pra realizar isso","['Resposta da empresa\n17/03/2025 às 09:29\nDr. Thiago, bom dia!\n\nMeu nome é Andreza e sou responsável pelo acompanhamento da sua solicitação registrada na plataforma Reclame Aqui, ID: 209953171 sobre desacordo comercial com o estabelecimento. Primeiramente, gostaria de ressaltar que, conforme o Código de Defesa do Consumidor (art. 14), o fornecedor de serviços tem a responsabilidade de reparar os danos causados ao consumidor.\n\n**Art. 14**: O fornecedor de serviços responde, independentemente da existência de culpa, pela reparação dos danos causados aos consumidores por defeitos relativos à prestação dos serviços, bem como por informações insuficientes ou inadequadas sobre sua fruição e riscos.\n\nIdentificamos que, no dia 11/02/2025, o senhor entrou em contato com nossa Central de Cartões Visa, relatando os fatos em questão. A partir deste atendimento, iniciamos a análise referente à solicitação de estorno do valor utilizado pela locadora de veículos para reserva.\n\nApós análise junto à nossa área de cartões, verificamos que o valor já foi estornado na sua fatura de março, o que pode ser conferido diretamente pelo seu App Unicred Visa.\n\nEm relação ao processo de aprovação da transação, é importante esclarecer que o estabelecimento comercial aprovou a transação e, posteriormente, realizou o estorno. A Unicred, como emissora do cartão de crédito, atua apenas como meio de pagamento na transação. Após a validação dos dados e a aprovação, a responsabilidade pela transação é do estabelecimento.\n\nO contrato do Cartão Unicred Visa regula as condições para cancelamento de compras realizadas pelo titular, estabelecendo que este só será permitido no mesmo dia da TRANSAÇÃO, desde que previamente autorizado pelo estabelecimento, conforme previsto na cláusula 6.3.7.\n\nAlém disso, na cláusula 6.3.14. do contrato fica estabelecido que a Unicred poderá solicitar documentos que sustentem o processo de contestação.\n\nO conteúdo completo deste Contrato pode ser acessado no site: https://www.unicred.com.br/solucoes/cartoes\n\nEsclarecemos também que, no caso de locação de veículos, é prática comum no mercado o estabelecimento processar o valor como uma pré-autorização (caução), ficando com status pendente até a devolução do veículo. Caso o estabelecimento decida cancelar a transação após a devolução, ela deixa de consumir o limite do cartão e não é lançada na fatura. No seu caso, a transação foi efetivamente lançada na fatura porque o estabelecimento não cancelou a tempo, evitando assim a cobrança.\n\nAdicionalmente, a área responsável informou que o crédito na conta só pode ser realizado se não houver cartões ativos.\n\nCaso ainda tenha dúvidas ou precise de mais esclarecimentos, o senhor pode entrar em contato diretamente com a nossa Central de Atendimento Visa pelos seguintes números:\n\n4007-1038 | Capitais e regiões metropolitanas\n0800 600 5237 | Demais regiões ou\n+55 31 4007-1038 | Ligações do exterior\n\nAtenciosamente,\n\nAndreza\nOuvidoria Unicred', 'Consideração final do consumidor\n19/03/2025 às 10:24\nEu entendi tudo que foi apresentado. Mas essa solução não responde a minha demanda. O que eu queria é que assim como o valor foi retirado da minha conta, ele fosse devolvido da mesma forma. Não sendo debitado das próximas faturas.']",6,False,Não resolvido
209870177,Boletos com cobrança indevida,Campinas - SP,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=13, tm_hour=16, tm_min=34, tm_sec=0, tm_wday=3, tm_yday=44, tm_isdst=-1)","Não conheço essa empresa e faz um tempo que estou recebendo boletos CNPJ 71884498/0001-40
Não sei como tirar esses boletos e parar de receber eles","['Resposta da empresa\n14/02/2025 às 16:05\nSra. Maria Ana, boa tarde!\n\nConforme conversamos por WhatsApp, meu nome é Andreza e sou a responsável pelo acompanhamento da sua solicitação registrada na plataforma Reclame Aqui - ID: 209870177.\n\nFicamos satisfeitos em saber que a questão mencionada foi resolvida com a identificação do beneficiário/emitente.\n\nInformamos que a Unicred opera com inúmeros serviços financeiros a seus cooperados, incluindo o serviço de cobrança no qual foi citado na manifestação. Contratualmente e em atendimento à Lei Complementar 105, de 10 de janeiro de 2001 (que dispõe sobre sigilo bancário), não possuímos responsabilidade sobre os boletos emitidos pelos cooperados da Unicred em razão de sermos apenas o agente financeiro do serviço contratado, não cabendo (legalmente) quaisquer responsabilidades por suas transações como cancelamento, exclusão ou resolução de eventuais conflitos entre as partes.\n\nAssim sendo, orientamos estritamente o contato com o beneficiário do boleto, para buscar o esclarecimento da questão.\n\nSolicito a gentileza de avaliar o meu atendimento na Plataforma do Reclame Aqui.\n\nSeguimos à disposição!\n\nAndreza\nOuvidoria Unicred', 'Consideração final do consumidor\n14/02/2025 às 16:25\nIdentificou que quem mandou os boletos foram a Unimed Campinas, porém entrei em contato e não tem nenhum boleto em aberto']",8,False,Resolvido
209821379,Boletos emitidos contra meu CPF,Campinas - SP,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=13, tm_hour=9, tm_min=46, tm_sec=0, tm_wday=3, tm_yday=44, tm_isdst=-1)","Recebo mensalmente boletos emitidos pela Cooperativa de Economia e Credito Mutuo, CNPJ 71.884.498/0001-40 no valor de R$ 230,67.
Não existe qualquer informação sobre o favorecido ou emissor.
Não sei do que se trata e não tenho contas pendentes.
Preciso que essas emissões sejam encerradas.","['Resposta da empresa\n13/02/2025 às 10:58\nSr. Marcelo, bom dia!\n\nConforme conversamos por ligação, meu nome é Andreza e sou a responsável pelo acompanhamento da sua solicitação registrada na plataforma Reclame Aqui - ID: 209821379.\n\nFicamos satisfeitos em saber que a questão mencionada foi resolvida com a identificação do beneficiário/emitente.\n\nInformamos que a Unicred opera com inúmeros serviços financeiros a seus cooperados, incluindo o serviço de cobrança no qual foi citado na manifestação. Contratualmente e em atendimento à Lei Complementar 105, de 10 de janeiro de 2001 (que dispõe sobre sigilo bancário), não possuímos responsabilidade sobre os boletos emitidos pelos cooperados da Unicred em razão de sermos apenas o agente financeiro do serviço contratado, não cabendo (legalmente) quaisquer responsabilidades por suas transações como cancelamento, exclusão ou resolução de eventuais conflitos entre as partes.\n\nAssim sendo, orientamos estritamente o contato com o beneficiário do boleto, para buscar o esclarecimento da questão.\n\nSolicito a gentileza de avaliar o meu atendimento na Plataforma do Reclame Aqui.\n\nSeguimos à disposição!\n\nAndreza\nOuvidoria Unicred', 'Consideração final do consumidor\n17/02/2025 às 12:50\ncobrança indevida pela unimed campinas. unicred é apenas o banco onde foi emitido.']",10,False,Resolvido
209168325,Boleto Indevido,Campinas - SP,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=11, tm_hour=9, tm_min=44, tm_sec=0, tm_wday=1, tm_yday=42, tm_isdst=-1)","Recebi em meu DDA um boleto indevido com vencimento para 20/02/25 e não consigo atendimento. Nunca vi uma central de atendimento ter uma única atendente que se chama Kely. A mesma atende os telefones: 3003-7703, 3731-2720 e 0800 200 7302 e a orientação é contestar e não há atendimento para esclarecer tal cobrança. Eu cancelei o boleto e espero que não me incomodem mais.","['Resposta da empresa\n11/02/2025 às 10:53\nSra. Raquel, bom dia!\n\nConforme conversamos via ligação, meu nome é Andreza e sou a responsável pelo acompanhamento da sua solicitação registrada na plataforma Reclame Aqui - ID: 209168325.\n\nInformamos que a Unicred opera com inúmeros serviços financeiros a seus cooperados, incluindo o serviço de cobrança no qual foi citado na manifestação. Contratualmente e em atendimento à Lei Complementar 105, de 10 de janeiro de 2001 (que dispõe sobre sigilo bancário), não possuímos responsabilidade sobre os boletos emitidos pelos cooperados da Unicred em razão de sermos apenas o agente financeiro do serviço contratado, não cabendo (legalmente) quaisquer responsabilidades por suas transações como cancelamento, exclusão ou resolução de eventuais conflitos entre as partes.\n\nSolicito a gentileza de avaliar o meu atendimento na Plataforma do Reclame Aqui.\n\nSeguimos à disposição!\n\nAndreza\nOuvidoria Unicred', 'Consideração final do consumidor\n11/02/2025 às 11:31\nO retorno da Andreza foi esclarecedor, nota 10. A atendente das diversas centrais que eles tem deveria receber treinamento para passar as informações no primeiro contato, nota 0. Entendo que a Unicred não tem responsabilidade com a emissão dos boletos, mas eu também não tenho em receber uma cobrança indevida. O que falta é ter suporte para atender de primeiro momento as pessoas que passam por essa situação. Somente no atendimento da Andreza é que recebi a informação que a única maneira de identificar o emissor do boleto é entrar em contato com o número do código de barras.']",7,False,Resolvido
209407695,Exigência absurda!,Magé - RJ,"time.struct_time(tm_year=2025, tm_mon=2, tm_mday=8, tm_hour=10, tm_min=50, tm_sec=0, tm_wday=5, tm_yday=39, tm_isdst=-1)","Estou negociando meu carro com um cooperado da UNICRED. Segundo ele havia me dito, por texto, a UNICRED só liberaria, para ele, o empréstimo depois que eu fechasse o CRV, em seu nome, e registrasse em cartório. Então, entrei em contato com a empresa, via SAC, e constatei tratar-se de uma exigência da empresa, mas, não é uma exigência razoável, seria um salto no abismo. Das duas uma: trata-se realmente de uma exigência da empresa, e esta, certamente, não é razoável, quiçá legal, ou trata-se de um [Editado pelo Reclame Aqui] muito bem engendrado. Aguardo o posicionamento da empresa.","['Resposta da empresa\n10/02/2025 às 12:32\nSr. Carlos Roberto, boa tarde!\n\nEm atenção à sua solicitação de atendimento (ID 209407695), informamos que, com base nas informações fornecidas, não localizamos nenhum vínculo com os seus dados junto a nossa Bace Cadastral. Esclarecemos que qualquer tratativa poderá ser realizada somente mediante solicitação apresentada diretamente pelo titular/cooperado responsável pelo financiamento do veículo.\n\nEm conformidade com a Lei Complementar 105, que trata do sigilo bancário, não podemos fornecer informações a terceiros.\n\nAtenciosamente,\n\nAndreza\nOuvidoria Unicred', 'Réplica do consumidor\n10/02/2025 às 13:32\nO cliente de vocês está tentando comprar o meu carro através de financiamento de veículo seminovo pela Unicred. eu entrei em contato com o saque de vocês e constatei que a exigência que ele havia me dito procedia, ou seja, eu teria que fechar o CRV em seu nome e depois registrar em cartório. Tall exigência não me parece razoável. Convém mencionar que o saque teve acesso ao nome do segurado que deseja comprar o meu carro e do e-mail do suposto gerente da Unicred de Itaguaí e me respondeu que se tratava de pessoa que pertence aos quadros da Unicred. Então, honestamente, não entendo vocês não poderem ao menos me dizer se essa solicitação do fechamento do CRV e do registro em cartório da firma ser regular.', 'Consideração final do consumidor\n10/02/2025 às 19:35\nA empresa utilizou de diversionismo para não tratar do assunto afeito à reclamação: se a exigência realmente existe, e é uma política da empresa, ou se estão utilizando a empresa num [Editado pelo Reclame Aqui].']",0,False,Não resolvido
