id,titulo,lugar,data,reclamacao_base,interacoes,rating,again,status
212969073,Reembolso de valor pago,Volta Redonda - RJ,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=24, tm_hour=16, tm_min=18, tm_sec=0, tm_wday=0, tm_yday=83, tm_isdst=-1)",Então eu fiz uma compra de um acesso ao apricativo de avaliação e já faz 24 horas que eu não tenho acesso ao apricativo e gostaria de receber meu investimento de volta foi pago mediante cartão de crédito e eu vi o anúncio em uma rede social e resolvi fazer a compra só que até agora não tem nada de novidade pra mim começar as coisas no apricativo e portanto gostaria de receber meu investimento de volta,"['Resposta da empresa\n25/03/2025 às 16:12\nOlá, tudo bem?\n\nSua solicitação foi atendida!\nInformamos que solicitamos seu reembolso e em até 2 dias cairá na mesma conta em que foi feita a compra.\n\nÉ importante ressaltar que a URUS atua como plataforma de processamento e gerenciamento de pagamentos online, via cartão de crédito ou boleto bancário e PIX.\n\nNão realizamos a venda direta de nenhum produto, apenas fornecemos a infraestrutura para que os produtores possam disponibilizar seus cursos e produtos aos clientes.\n\nFoi um prazer te ajudar! Não se esqueça de avaliar meu atendimento no Reclame Aqui e que voltaria a fazer negócio conosco.\n\nSua avaliação é muito importante para o desempenho do meu trabalho.\n\nTenha umexcelentedia!', 'Consideração final do consumidor\n25/03/2025 às 16:17\nFoi muito rápido o atendimento e da minha parte e nota dez e sem dúvida nenhuma eu com certeza volto a fazer negócios se tiver que comprar novamente eu compro sem pensar duas vezes parabéns']",10,True,Resolvido
212832361,Reembolso,Pelotas - RS,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=22, tm_hour=14, tm_min=9, tm_sec=0, tm_wday=5, tm_yday=81, tm_isdst=-1)",Comprei o pix my dollar mas não consigo acesso quero o meu reembolso por não fazerem o que foi dito!,"['Resposta da empresa\n25/03/2025 às 13:05\nOlá, tudo bem?\n\nSua solicitação foi atendida!\nInformamos que solicitamos seu reembolso e em até 2 dias cairá na mesma conta em que foi feita a compra.\n\nÉ importante ressaltar que a URUS atua como plataforma de processamento e gerenciamento de pagamentos online, via cartão de crédito ou boleto bancário e PIX.\n\nNão realizamos a venda direta de nenhum produto, apenas fornecemos a infraestrutura para que os produtores possam disponibilizar seus cursos e produtos aos clientes.\n\nFoi um prazer te ajudar! Não se esqueça de avaliar meu atendimento no Reclame Aqui e que voltaria a fazer negócio conosco.\n\nSua avaliação é muito importante para o desempenho do meu trabalho.\n\nTenha umexcelentedia!', 'Consideração final do consumidor\n25/03/2025 às 13:52\nJá entraram em contato e estou esperando o reembolso que leva 2 dias!']",9,True,Resolvido
212810499,URUS Intermediadora de Pagamentos,Recife - PE,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=22, tm_hour=8, tm_min=13, tm_sec=0, tm_wday=5, tm_yday=81, tm_isdst=-1)","Essa empresa URUS Intermediadora de pagamentos, não é confiável. Fiz.o pagamento da compra de R$ *****, do dia ***** e depois para eu sacar o valor que tinha na minha conta, tive que pagar o Imposto de R$*****, IOF. Via PIX também e não tenho acesso a plataforma PiX My lDollar. A mesma mensagem fica para o seu acesso. Tenho que pagar o imposto e nada de entrar na plataforma verdadeira.
***** não existe o sistema falar é inoperante! Quero o meu dinheiro de volta! Gostaria de por os arquivos, mas não está indo. Tenho tudo como provas! O nome da pessoa que está responsável pelo Pix do IOF é
*****.","['Resposta da empresa\n22/03/2025 às 12:44\nOlá, tudo bem?\n\nSua solicitação foi atendida!\nInformamos que solicitamos seu reembolso e em até 2 dias cairá na mesma conta em que foi feita a compra.\n\nÉ importante ressaltar que a URUS atua como plataforma de processamento e gerenciamento de pagamentos online, via cartão de crédito ou boleto bancário e PIX.\n\nNão realizamos a venda direta de nenhum produto, apenas fornecemos a infraestrutura para que os produtores possam disponibilizar seus cursos e produtos aos clientes.\n\nFoi um prazer te ajudar! Não se esqueça de avaliar meu atendimento no Reclame Aqui e que voltaria a fazer negócio conosco.\n\nSua avaliação é muito importante para o desempenho do meu trabalho.\n\nTenha umexcelentedia!', 'Consideração final do consumidor\n23/03/2025 às 12:31\nPor enquanto estou aguardando o ressarcimento o meu dinheiro, mas estou avaliando pelo simples fato de ser de imediato a resposta dada e isso pra mim é muito importante. Da atenção e resolução do problema! Obrigada.']",9,True,Resolvido
212805185,Propaganda enganosa,Contagem - MG,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=22, tm_hour=0, tm_min=17, tm_sec=0, tm_wday=5, tm_yday=81, tm_isdst=-1)","Realizei a compra dia ***** de um produto por R$***** e o produto era propaganda enganosa, tem falso anúncio do reclame aqui e não devolveram meu valor. Aguardo reembolso.","['Resposta da empresa\n22/03/2025 às 12:44\nOlá, tudo bem?\n\nSua solicitação foi atendida!\nInformamos que solicitamos seu reembolso e em até 2 dias cairá na mesma conta em que foi feita a compra.\n\nÉ importante ressaltar que a URUS atua como plataforma de processamento e gerenciamento de pagamentos online, via cartão de crédito ou boleto bancário e PIX.\n\nNão realizamos a venda direta de nenhum produto, apenas fornecemos a infraestrutura para que os produtores possam disponibilizar seus cursos e produtos aos clientes.\n\nFoi um prazer te ajudar! Não se esqueça de avaliar meu atendimento no Reclame Aqui e que voltaria a fazer negócio conosco.\n\nSua avaliação é muito importante para o desempenho do meu trabalho.\n\nTenha umexcelentedia!', 'Consideração final do consumidor\n23/03/2025 às 09:51\nMuito ruim não ressarciu valor até hoje estou aguardando.']",0,False,Não resolvido
212759149,Pix my dólar,Casinhas - PE,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=21, tm_hour=13, tm_min=42, tm_sec=0, tm_wday=4, tm_yday=80, tm_isdst=-1)","Já fiz a reclamação aqui já, me mandaram mensagem deram um prazo de retorno 2 dias pra devolver o dinheiro é até agora nada","['Resposta da empresa\n22/03/2025 às 12:17\nOlá, tudo bem?\n\nSua solicitação foi atendida!\nInformamos que solicitamos seu reembolso e em até 2 dias cairá na mesma conta em que foi feita a compra.\n\nÉ importante ressaltar que a URUS atua como plataforma de processamento e gerenciamento de pagamentos online, via cartão de crédito ou boleto bancário e PIX.\n\nNão realizamos a venda direta de nenhum produto, apenas fornecemos a infraestrutura para que os produtores possam disponibilizar seus cursos e produtos aos clientes.\n\nFoi um prazer te ajudar! Não se esqueça de avaliar meu atendimento no Reclame Aqui e que voltaria a fazer negócio conosco.\n\nSua avaliação é muito importante para o desempenho do meu trabalho.\n\nTenha umexcelentedia!', 'Réplica do consumidor\n22/03/2025 às 12:20\njá ouvi essa conversa já é até agora nada', 'Consideração final do consumidor\n23/03/2025 às 11:25\nNão resolve']",0,False,Não resolvido
212747429,Fiz um pagamento,Itapetininga - SP,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=21, tm_hour=11, tm_min=50, tm_sec=0, tm_wday=4, tm_yday=80, tm_isdst=-1)",Então fiz um pagamento de ***** reais pela urus a instituição era celcoin IP S.A só que era pra uma compra pra me cadastrar no Pix My Dollar não me deram retorno sobre o meu cadastro,"['Resposta da empresa\n22/03/2025 às 11:26\nOlá, tudo bem?\n\nSua solicitação foi atendida!\nInformamos que solicitamos seu reembolso e em até 2 dias cairá na mesma conta em que foi feita a compra.\n\nÉ importante ressaltar que a URUS atua como plataforma de processamento e gerenciamento de pagamentos online, via cartão de crédito ou boleto bancário e PIX.\n\nNão realizamos a venda direta de nenhum produto, apenas fornecemos a infraestrutura para que os produtores possam disponibilizar seus cursos e produtos aos clientes.\n\nFoi um prazer te ajudar! Não se esqueça de avaliar meu atendimento no Reclame Aqui e que voltaria a fazer negócio conosco.\n\nSua avaliação é muito importante para o desempenho do meu trabalho.\n\nTenha umexcelentedia!', 'Consideração final do consumidor\n22/03/2025 às 11:51\nMe atenderam rapidamente e meu problema foi solucionado. Obrigada']",10,True,Resolvido
212708393,reenbolso,Balsas - MA,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=20, tm_hour=21, tm_min=24, tm_sec=0, tm_wday=3, tm_yday=79, tm_isdst=-1)","fiz um pagamentos e um aplicativos da plataforma urus no valor de ***** reais onde eu completava as opçoes da plataforma e sacava um valor , com isso teria que colocar uma taxa porem nao obtive valor nenhum","['Resposta da empresa\n22/03/2025 às 10:32\nOlá, tudo bem?\n\nSua solicitação foi atendida!\nInformamos que solicitamos seu reembolso e em até 2 dias cairá na mesma conta em que foi feita a compra.\n\nÉ importante ressaltar que a URUS atua como plataforma de processamento e gerenciamento de pagamentos online, via cartão de crédito ou boleto bancário e PIX.\n\nNão realizamos a venda direta de nenhum produto, apenas fornecemos a infraestrutura para que os produtores possam disponibilizar seus cursos e produtos aos clientes.\n\nFoi um prazer te ajudar! Não se esqueça de avaliar meu atendimento no Reclame Aqui e que voltaria a fazer negócio conosco.\n\nSua avaliação é muito importante para o desempenho do meu trabalho.\n\nTenha umexcelentedia!', 'Réplica do consumidor\n24/03/2025 às 10:08\no dinheiro ainda nao caiu', 'Réplica do consumidor\n25/03/2025 às 13:23\nainda nao caiu', 'Consideração final do consumidor\n25/03/2025 às 13:23\nnao caiu e nao me respondem mais']",3,False,Não resolvido
212695317,Vi um anúncio no YouTube de um trabalho em Homi Office.,Una - BA,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=20, tm_hour=18, tm_min=39, tm_sec=0, tm_wday=3, tm_yday=79, tm_isdst=-1)","Ao ver o anúncio de uma moça falando sobre o trabalho em Home Office me interessei e comprei, mostra ter o faturamento mas não é possível sacar, fui enganada
Quero meu dinheiro de volta.","['Resposta da empresa\n22/03/2025 às 10:32\nOlá, tudo bem?\n\nSua solicitação foi atendida!\nInformamos que solicitamos seu reembolso e em até 2 dias cairá na mesma conta em que foi feita a compra.\n\nÉ importante ressaltar que a URUS atua como plataforma de processamento e gerenciamento de pagamentos online, via cartão de crédito ou boleto bancário e PIX.\n\nNão realizamos a venda direta de nenhum produto, apenas fornecemos a infraestrutura para que os produtores possam disponibilizar seus cursos e produtos aos clientes.\n\nFoi um prazer te ajudar! Não se esqueça de avaliar meu atendimento no Reclame Aqui e que voltaria a fazer negócio conosco.\n\nSua avaliação é muito importante para o desempenho do meu trabalho.\n\nTenha umexcelentedia!', 'Consideração final do consumidor\n22/03/2025 às 17:03\nO contato foi feito de imediato e o problema resolvido.']",10,True,Resolvido
212692845,Quero meu reembolso do meu dinheiro,Ituberá - BA,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=20, tm_hour=18, tm_min=12, tm_sec=0, tm_wday=3, tm_yday=79, tm_isdst=-1)",uma plataforma prometendo ganhar um dinheiro e essa prometo só não fui cumprida comprei o aplicativo que eu comprei o aplicativo que fala que a pessoa ganha um dinheiro paguei r$ ***** e pouco mete ganhar e não conseguir acessar nada e eu quero meu reembolso e eu tenho um comprovante de pagamento que eu paguei,"['Resposta da empresa\n22/03/2025 às 10:31\nOlá, tudo bem?\n\nSua solicitação foi atendida!\nInformamos que solicitamos seu reembolso e em até 2 dias cairá na mesma conta em que foi feita a compra.\n\nÉ importante ressaltar que a URUS atua como plataforma de processamento e gerenciamento de pagamentos online, via cartão de crédito ou boleto bancário e PIX.\n\nNão realizamos a venda direta de nenhum produto, apenas fornecemos a infraestrutura para que os produtores possam disponibilizar seus cursos e produtos aos clientes.\n\nFoi um prazer te ajudar! Não se esqueça de avaliar meu atendimento no Reclame Aqui e que voltaria a fazer negócio conosco.\n\nSua avaliação é muito importante para o desempenho do meu trabalho.\n\nTenha umexcelentedia!', 'Consideração final do consumidor\n22/03/2025 às 10:40\nMuito bom e rápido']",10,True,Resolvido
212692071,Cancelar o serviço pix my dólar e o reembolso bancário pago pelo cliente a uru mediadora e arkama mediadora,Salvador - BA,"time.struct_time(tm_year=2025, tm_mon=3, tm_mday=20, tm_hour=18, tm_min=4, tm_sec=0, tm_wday=3, tm_yday=79, tm_isdst=-1)",Não respeita o cliente,"['Resposta da empresa\n20/03/2025 às 21:35\nEu informei para o senhor que não trabalho para a PERFECTPAY, e solicitei os ocmprovantes bancario, porém se todos for da PERFECTPAy o senhor tem que entrar em contato com eles.', 'Consideração final do consumidor\n22/03/2025 às 16:55\nRuim']",4,False,Não resolvido
